Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic
has ^vbz+hvz+aux++=has
revealed ^vprf+++xvbnx+=revealed
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
using ^xvbg+++xvbg+=using
educational ^jj+atrb+++=educational
platforms ^nns++++=platforms
to ^in++++=to
address ^nn++++=address
emerging ^vwbg+++xvbg+=emerging
remote ^jj+atrb+++=remote
education ^nn++++=education
situations ^nns++++=situations
( ^zz++++=(Crick
crick ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
obligatory ^jj+atrb+++=obligatory
confinement ^nn++++=confinement
made ^vbd+++xvbn+=made
on ^in++++=on-site/in-person
- ^zz++++=EXTRAWORD
site ^nn++++=EXTRAWORD
work ^nn++++=work
unfeasible ^nn+++??+=unfeasible,
, ^zz++++=EXTRAWORD
as ^in++++=as
happened ^nn++++=happened
in ^in++++=in
Ecuador ^np+++??+=Ecuador,
, ^zz++++=EXTRAWORD
a ^at++++=a
Latin ^jj+atrb+++=Latin
American ^jj+atrb+++=American
country ^nn++++=country,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
remote ^jj+atrb+++=remote
education ^nn++++=education
for ^in++++=for
all ^rb++++=all
educational ^jj+atrb+++=educational
levels ^nns++++=levels
was ^vbd+bedz+aux++=was
adopted ^vpsv++agls+xvbnx+=adopted.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
in ^in++++=in
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
confirmed ^vpbn+vpub++xvbn+=confirmed
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
online ^nn+++??+=online
learning ^vwbg+vprv++xvbg+=learning
as ^ql++++=as
a ^at++++=a
requirement ^nn++++=requirement
for ^in++++=for
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
knowledge ^nn++++=knowledge
in ^in++++=in
the ^ati++++=the
21st ^cd++++=21st
century ^nn++++=century
( ^zz++++=(Meier
meier ^nn++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
