As ^in++++=As
shown ^nn++++=shown
in ^in++++=in
the ^ati++++=the
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
data ^nns++++=data,
, ^zz++++=EXTRAWORD
female ^nn++++=female
participants ^nns++++=participants
use ^nn++++=use
of ^in++++=of
emojis ^nns+++??+=emojis
had ^vb+hv+vrb++=had
an ^at++++=an
impact ^nn++++=impact
in ^in++++=in
the ^ati++++=the
frequency ^nn++++=frequency
of ^in++++=of
interactions ^nns++++=interactions
during ^in++++=during
the ^ati++++=the
course ^nn++++=course.
. ^zz++++=EXTRAWORD
Moreover ^rb+cnj+++=Moreover,
, ^zz++++=EXTRAWORD
as ^ql++++=as
can ^md+pos+++=can
be ^vb+be+aux++=be
seen ^vpsv++agls+xvbnx+=seen
in ^in++++=in
Figure ^nn++++=Figure
5 ^zz++++=5,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
participants ^nns++++=participants
were ^vbd+bed+vrb++=were
the ^ati++++=the
ones ^cd1s++++=ones
who ^whp+rel+subj++=who
added ^vbd+vpub++xvbn+=added
a ^at++++=a
more ^rbr++++=more
affectionate ^jj+atrb+++=affectionate
response ^nn++++=response
to ^in++++=to
these ^dt+dem+++=these
interactions ^nns++++=interactions
by ^in++++=by
posting ^xvbg+++xvbg+=posting
a ^at++++=a
great ^jj+atrb+++=great
number ^nn++++=number
emojis ^nns+++??+=emojis
that ^tht+rel+subj++=that
represent ^vb++++=represent
affection ^nn++++=affection
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
Face ^nn++++=Face
Throwing ^vwbg+++xvbg+=Throwing
a ^at++++=a
Kiss ^vb++++=Kiss
emoji ^nn+++??+=emoji
, ^zz++++=,
Smiling ^jj+atrb++xvbg+=Smiling
Face ^nn++++=Face
With ^in++++=With
Heart ^nn++++=Heart-Eyes
- ^zz++++=EXTRAWORD
eyes ^nns++++=EXTRAWORD
emoji ^nn+++??+=emoji
, ^zz++++=,
Red ^jj+atrb+++=Red
Heart ^nn++++=Heart
emoji ^nn+++??+=emoji
, ^zz++++=,
Cherry ^np++++=Cherry
Blossom ^vb++++=Blossom
emoji ^nn+++??+=emoji
, ^zz++++=,
etc ^rb++++=etc.
. ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
5 ^zz++++=5
also ^rb++++=also
shows ^vbz+vprv+++=shows
evidence ^nn++++=evidence
that ^tht+rel+obj++=that
the ^ati++++=the
high ^jj+atrb+++=high
frequency ^nn++++=frequency
of ^in++++=of
the ^ati++++=the
eight ^cd++++=eight
most ^ql+emph+++=most
used ^vbd+++xvbn+=used
emojis ^nns++++=emojis
was ^vbd+bedz+vrb++=was
boosted ^nn++++=boosted
by ^in++++=by
female ^jj+atrb+++=female
participants ^nns++++=participants.
. ^zz++++=EXTRAWORD
