This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study
aims ^vb++++=aims
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
In ^in++++=In
other ^ap++++=other
words ^nns++++=words,
, ^zz++++=EXTRAWORD
the ^ati++++=the
focus ^nn++++=focus
of ^in++++=of
this ^dt+dem+++=this
research ^nn++++=research
will ^md+prd+++=will
be ^vb+be+vrb++=be
on ^in++++=on
intrasentential ^nn+++??+=intrasentential,
, ^zz++++=EXTRAWORD
coreferential ^nn+++??+=coreferential,
, ^zz++++=EXTRAWORD
pronominal ^nn++++=pronominal
and ^cc++++=and
zero ^cd++++=zero
anaphora ^nn++++=anaphora
with ^in++++=with
nominal ^jj+atrb+++=nominal
human ^jj+atrb+++=human
antecedents ^nns++++=antecedents.
. ^zz++++=EXTRAWORD
