The ^ati++++=The
aim ^nn++++=aim
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
is ^vbz+bez+aux++=is
to ^to++++=to
estimate ^vb++++=estimate
the ^ati++++=the
incidence ^nn++++=incidence
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
vaccinated ^nn+++??+=vaccinated
and ^cc++++=and
an ^at++++=an
unvaccinated ^nn+++??+=unvaccinated
group ^nn++++=group
of ^in++++=of
adolescents ^nns++++=adolescents,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
describe ^vb++++=describe
their ^pp$+pp3+++=their
symptoms ^nns++++=symptoms.
. ^zz++++=EXTRAWORD
