This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
also ^rb++++=also
the ^ati++++=the
perception ^nn++++=perception
of ^in++++=of
the ^ati++++=the
National ^jj+atrb+++=National
Secular ^jj+atrb+++=Secular
Society ^nn++++=Society,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
raising ^vbg+++xvbgx+=raising
serious ^jj+atrb+++=serious
criticism ^nn++++=criticism
of ^in++++=of
the ^ati++++=the
privilege ^nn++++=privilege
enjoyed ^vwbn+++xvbn+=enjoyed
by ^in++++=by
Christianity ^nn++++=Christianity
in ^in++++=in
Re ^in++++=RE
provisions ^nns++++=provisions,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
stressing ^vbg+++xvbg+=stressing
the ^ati++++=the
necessity ^nn++++=necessity
for ^in++++=for
objectivity ^nn++++=objectivity
and ^cc++++=and
neutrality ^nn++++=neutrality
in ^in++++=in
the ^ati++++=the
whole ^jj+atrb+++=whole
curriculum ^nn++++=curriculum:
: ^zz++++=EXTRAWORD
