Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
primary ^jj+atrb+++=primary
objective ^nn++++=objective
of ^in++++=of
this ^dt+dem+++=this
article ^nn++++=article
is ^vbz+bez+aux++=is
to ^to++++=to
calculate ^vbi++++=calculate
Covid ^np+++??+=Covid-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
mortality ^nn++++=mortality
rates ^nns++++=rates
adjusted ^vwbn+++xvbn+=adjusted
by ^in++++=by
differences ^nns++++=differences
in ^in++++=in
age ^nn++++=age
pyramids ^vbz+++??+=pyramids
based ^vbd+++xvbn+=based
on ^in++++=on
data ^nns++++=data
on ^in++++=on
mortality ^nn++++=mortality
by ^in++++=by
age ^nn++++=age
group ^nn++++=group.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
the ^ati++++=the
difficulty ^nn++++=difficulty
of ^in++++=of
obtaining ^xvbg+++xvbg+=obtaining
this ^dt+dem+++=this
information ^nn++++=information
and ^cc++++=and
its ^pp$+it+++=its
relevance ^nn++++=relevance
to ^in++++=to
other ^ap++++=other
studies ^nns++++=studies
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
gathering ^vbg+++xvbg+=gathering
data ^nns++++=data
on ^in++++=on
mortality ^nn++++=mortality
from ^in++++=from
the ^ati++++=the
disease ^nn++++=disease
by ^in++++=by
age ^nn++++=age
groups ^nns++++=groups
into ^in++++=into
a ^at++++=a
single ^jj+atrb+++=single
source ^nn++++=source
for ^in++++=for
the ^ati++++=the
countries ^nns++++=countries
most ^ql+emph+++=most
affected ^vpsv++by+xvbn+=affected
by ^in++++=by
the ^ati++++=the
pandemic ^nn++++=pandemic
is ^vbz+bez+vrb++=is
in ^in++++=in
itself ^ppl++++=itself
a ^at++++=a
relevant ^jj+atrb+++=relevant
secondary ^jj+atrb+++=secondary
objective ^nn++++=objective.
. ^zz++++=EXTRAWORD
