Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
Engeness ^np+++??+=Engeness
mentions ^vbz++++=mentions
that ^tht+vcmp+++=that
teachers ^nns++++=teachers
are ^vb+ber+aux++=are
expected ^vpsv++agls+xvbnx+=expected
not ^xnot++not++=not
only ^rb+down+++=only
to ^to++++=to
be ^vbi++vrb++=be
profound ^jj+atrb+++=profound
users ^nns++++=users
of ^in++++=of
educational ^jj+atrb+++=educational
technologies ^nns+++??+=technologies
but ^cc++++=but
also ^rb++++=also
to ^to++++=to
engage ^vbi++++=engage
in ^in++++=in
the ^ati++++=the
design ^nn++++=design
of ^in++++=of
digital ^jj+atrb+++=digital
environments ^nns++++=environments
such ^abl++++=such
as ^ql++++=as
online ^vb+++??+=online
courses ^nns++++=courses,
, ^zz++++=EXTRAWORD
learning ^vbg+vprv++xvbg+=learning
management ^nn++++=management
systems ^nns++++=systems,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
mobile ^jj+atrb+++=mobile
applications ^nns++++=applications
( ^zz++++=(Engeness
engeness ^nns+++??+=EXTRAWORD
2021:96 ^cd++++=2021:96),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
teachers ^nns++++=teachers
must ^md+nec+++=must
have ^vb+hv+vrb++=have
complementary ^jj+atrb+++=complementary
professional ^jj+atrb+++=professional
training ^nn++++=training
that ^tht+rel+subj++=that
promotes ^vbz++++=promotes
the ^ati++++=the
development ^nn++++=development
and ^cc++++=and
application ^nn++++=application
of ^in++++=of
this ^dt+dem+++=this
type ^nn++++=type
of ^in++++=of
skills ^nns++++=skills.
. ^zz++++=EXTRAWORD
