Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
valerian ^nn+++??+=valerian
does ^vbz+doz+aux++=does
not ^xnot++not++=not
potentiate ^vb+++??+=potentiate
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
alcohol ^nn++++=alcohol
or ^cc++++=or
Cns ^np+++??+=CNS
depressants ^nns+++??+=depressants,
, ^zz++++=EXTRAWORD
does ^vbz+doz+aux++=does
not ^xnot++not++=not
interfere ^vb++++=interfere
with ^in++++=with
the ^ati++++=the
ability ^nn++++=ability
to ^to+ncmp+++=to
drive ^vbi++++=drive
vehicles ^nns++++=vehicles
or ^cc++++=or
operate ^vb++++=operate
machines ^nns++++=machines,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
does ^vbz+doz+aux++=does
not ^xnot++not++=not
cause ^vb++++=cause
physical ^jj+atrb+++=physical
and ^cc+phrs+++=and/or
psychological ^jj+atrb+++=psychological
dependence ^nn++++=dependence
( ^zz++++=(Ugalde
ugalde ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
Hendriks ^np+++??+=Hendriks
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(1985)
1985 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Leuschner ^np+++??+=Leuschner;
; ^zz++++=EXTRAWORD
M ^zz++++=M
ller ^nn+++??+=ller;
; ^zz++++=EXTRAWORD
Rudmann ^np+++??+=Rudmann
( ^zz++++=(1993)
1993 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
stated ^vbn+vpub++xvbn+=stated
that ^tht+vcmp+++=that
Valerian ^np+++??+=Valerian-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
phytoterapeutic ^nn+++??+=phytoterapeutic
medicine ^nn++++=medicine
may ^md+pos+++=may
interact ^vb+++??+=interact
with ^in++++=with
barbiturates ^nns+++??+=barbiturates
and ^cc++++=and
benzodiazepines ^nns+++??+=benzodiazepines,
, ^zz++++=EXTRAWORD
causing ^vbg+++xvbg+=causing
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
the ^ati++++=the
therapeutic ^jj+atrb+++=therapeutic
effects ^nns++++=effects
of ^in++++=of
these ^dt+dem+++=these
drugs ^nns++++=drugs
and ^cc++++=and
potentiating ^nn++++=potentiating
cns ^np++++=CNS
depression ^nn++++=depression.
. ^zz++++=EXTRAWORD
