Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
genus ^nns+++??+=genus
Passiflora ^np+++??+=Passiflora
offers ^vbz++++=offers
immense ^jj+atrb+++=immense
potential ^nn++++=potential
for ^in++++=for
the ^ati++++=the
creation ^nn++++=creation
of ^in++++=of
new ^jj+atrb+++=new
drugs ^nns++++=drugs
and ^cc++++=and
beneficial ^jj+atrb+++=beneficial
products ^nns++++=products
to ^in++++=to
health ^nn++++=health.
. ^zz++++=EXTRAWORD
Research ^nn++++=Research
in ^in++++=in
this ^dt+dem+++=this
area ^nn++++=area
will ^md+prd+++=will
certainly ^rb++splt++=certainly
contribute ^vb++++=contribute
to ^in++++=to
quality ^nn++++=quality
of ^in++++=of
life ^nn++++=life
improvements ^nns++++=improvements
for ^in++++=for
the ^ati++++=the
world ^nn++++=world
population ^nn++++=population
( ^zz++++=(Trompetter
trompetter ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
