Figure ^nn++++=Figure
3 ^zz++++=3
shows ^nns++++=shows
a ^at++++=a
map ^nn++++=map
of ^in++++=of
Paran ^np+++??+=Paran
city ^nn++++=city
neighborhoods ^nns+++??+=neighborhoods
or ^cc++++=or
districts ^nns++++=districts
No ^rb++++=No.
. ^zz++++=EXTRAWORD
2 ^zz++++=2
and ^cc++++=and
N ^zz++++=N.
. ^zz++++=EXTRAWORD
11 ^cd++++=11
with ^in++++=with
a ^at++++=a
level ^nn++++=level
of ^in++++=of
detail ^nn++++=detail
showing ^vwbg+++xvbg+=showing
the ^ati++++=the
main ^jjb++++=main
Abcsim ^np+++??+=AbCSim
places ^nns++++=places
of ^in++++=of
interest ^nn++++=interest
and ^cc++++=and
activities ^nns++++=activities
carried ^vbd+++xvbn+=carried
out ^rp+pl+++=out
at ^in++++=at
those ^dt+dem+++=those
places ^nns++++=places.
. ^zz++++=EXTRAWORD
