This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
a ^at++++=a
bibliometric ^nn+++??+=bibliometric
mapping ^nn++++=mapping
of ^in++++=of
studies ^nns++++=studies
conducted ^vbd+++xvbn+=conducted
on ^in++++=on
medical ^jj+atrb+++=medical
translation ^nn++++=translation
in ^in++++=in
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
The ^ati++++=The
primary ^jj+atrb+++=primary
objective ^nn++++=objective
is ^vbz+bez+vrb++=is
to ^in++++=to
map ^nn++++=map
master ^npt++++=master
s ^zz++++=s,
, ^zz++++=EXTRAWORD
doctoral ^nn+++??+=doctoral,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
post ^nn++++=post-doctoral
- ^zz++++=EXTRAWORD
doctoral ^nn+++??+=EXTRAWORD
studies ^nns++++=studies
from ^in++++=from
2002 ^cd++++=2002
to ^to++++=to
2018 ^cd++++=2018,
, ^zz++++=EXTRAWORD
identifying ^jj+++xvbg+=identifying
the ^ati++++=the
topics ^nns++++=topics
covered ^vbd+++xvbn+=covered,
, ^zz++++=EXTRAWORD
the ^ati++++=the
institutions ^nns++++=institutions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
geographic ^nn+++??+=geographic
regions ^nns++++=regions
in ^in++++=in
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
carried ^vpsv++agls+xvbnx+=carried
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
The ^ati++++=The
significance ^nn++++=significance
of ^in++++=of
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study
lies ^vbz++++=lies
in ^in++++=in
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
it ^pp3+it+++=it
indicates ^vbz+vpub+++=indicates
regions ^nns++++=regions
and ^cc++++=and
institutions ^nns++++=institutions,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
research ^nn++++=research
on ^in++++=on
medical ^jj+atrb+++=medical
translation ^nn++++=translation
is ^vbz+bez+aux++=is
conducted ^vpsv++agls+xvbnx+=conducted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reveals ^vbz+vprv+++=reveals
the ^ati++++=the
regions ^nns++++=regions
in ^in++++=in
which ^whp+rel+pied++=which
this ^dt+dem+++=this
type ^nn++++=type
of ^in++++=of
study ^nn++++=study
is ^vbz+bez+vrb++=is
scarce ^jj+pred+++=scarce.
. ^zz++++=EXTRAWORD
In ^in++++=In
both ^abx++++=both
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mapping ^nn++++=mapping
can ^md+pos+++=can
serve ^vb++++=serve
as ^in++++=as
a ^at++++=a
reference ^nn++++=reference
for ^in++++=for
researchers ^nns+++??+=researchers
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
interested ^jj+pred+++=interested
in ^in++++=in
this ^dt+dem+++=this
area ^nn++++=area
of ^in++++=of
knowledge ^nn++++=knowledge.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mapping ^nn++++=mapping
can ^md+pos+++=can
offer ^vb++++=offer
input ^nn++++=input
for ^in++++=for
the ^ati++++=the
implementation ^nn++++=implementation
of ^in++++=of
public ^jj+atrb+++=public
