Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
extremely ^rb+amp+++=extremely
relevant ^jj+pred+++=relevant
to ^to++++=to
assess ^vbi++++=assess
the ^ati++++=the
viral ^nn+++??+=viral
circulation ^nn++++=circulation
situation ^nn++++=situation
at ^in++++=at
the ^ati++++=the
local ^jj+atrb+++=local
level ^nn++++=level,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
in ^in++++=in
smaller ^jjr+atrb+++=smaller
cities ^nns++++=cities,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
resources ^nns++++=resources
are ^vb+ber+vrb++=are
even ^rb++++=even
more ^rbr++++=more
scarce ^jj++++=scarce.
. ^zz++++=EXTRAWORD
