As ^in++++=As
demonstrated ^nn++++=demonstrated
in ^in++++=in
the ^ati++++=the
results ^nns++++=results,
, ^zz++++=EXTRAWORD
emojis ^nns+++??+=emojis
are ^vb+ber+aux++=are
largely ^rb++splt++=largely
used ^vpsv++++=used
to ^to++++=to
support ^vb++++=support
cognitive ^nn+++??+=cognitive,
, ^zz++++=EXTRAWORD
teaching ^vbg+vsua++xvbg+=teaching,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
social ^jj+atrb+++=social
presence ^nn++++=presence.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
emojis ^nns+++??+=emojis
fell ^vbd+++xvbn+=fell
into ^in+ppvb+++=into
Whatsapp ^np+++??+=WhatsApp
s ^zz++++=s
categories ^nns++++=categories
of ^in++++=of
face ^nn++++=face
emojis ^nns+++??+=emojis,
, ^zz++++=EXTRAWORD
people ^nns++++=people,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gestures ^nns++++=gestures.
. ^zz++++=EXTRAWORD
The ^ati++++=The
findings ^nns++++=findings
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
communication ^nn++++=communication
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
social ^jj+atrb+++=social
networks ^nns++++=networks
is ^vbz+bez+aux++=is
becoming ^vbg+++xvbgx+=becoming
more ^rbr++++=more
visual ^jj++++=visual
and ^cc++++=and
multimodal ^nn+++??+=multimodal
as ^ql++++=as
evidenced ^vb+++??+=evidenced
by ^in++++=by
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
emojis ^nns+++??+=emojis
and ^cc++++=and
more ^rbr++++=more
recently ^rb+tm+++=recently
by ^in++++=by
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
stickers ^nns+++??+=stickers
as ^cs+sub+++=as
pointed ^vpsv++by+xvbn+=pointed
by ^in++++=by
Paiva ^np+++??+=Paiva
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
also ^rb++++=also
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
gifs ^nns+++??+=gifs,
, ^zz++++=EXTRAWORD
widely ^rb++++=widely
used ^vbd+++xvbn+=used
in ^in++++=in
social ^jj+atrb+++=social
media ^nns++++=media.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
share ^vb++++=share
Paiva ^np+++??+=Paiva
s ^zz++++=s
ideas ^nns++++=ideas
that ^tht+ncmp+obj++=that
language ^nn++++=language
social ^jj+atrb+++=social
practices ^nns++++=practices
take ^vb++++=take
place ^nn++++=place
in ^in++++=in
a ^at++++=a
complex ^jj+atrb+++=complex
manner ^nn++++=manner
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
relationship ^nn++++=relationship
among ^in++++=among
the ^ati++++=the
various ^jj+atrb+++=various
agents ^nns++++=agents
and ^cc++++=and
the ^ati++++=the
ways ^nns++++=ways
of ^in++++=of
producing ^vbg+++xvbg+=producing
meaning ^nn++++=meaning
and ^cc++++=and
the ^ati++++=the
technologies ^nns++++=technologies
mediating ^jj++++=mediating
these ^dt+dem+++=these
practices ^nns++++=practices.
. ^zz++++=EXTRAWORD
