One ^cd1++++=One
possible ^jj+atrb+++=possible
explanation ^nn++++=explanation
for ^in++++=for
the ^ati++++=the
Rio ^np+++??+=Rio/S
o ^zz++++=o
Paulo ^np+++??+=Paulo
disparity ^nn+++??+=disparity
in ^in++++=in
mortality ^nn++++=mortality
would ^md+prd+++=would
be ^vb+be+vrb++=be
differences ^nns++++=differences
in ^in++++=in
available ^jj+atrb+++=available
beds ^nns++++=beds
for ^in++++=for
Covid ^np+++??+=Covid.
. ^zz++++=EXTRAWORD
Concerning ^in++++=Concerning
hospital ^nn++++=hospital
beds ^nns++++=beds
( ^zz++++=(per
per ^nnu++++=EXTRAWORD
100 ^cd++++=100
000 ^nn+++??+=000
population ^nn++++=population),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
shows ^vbz+vprv+tht0++=shows
a ^at++++=a
better ^jjr+atrb+++=better
scenario ^nn++++=scenario
compared ^vbd+++xvbn+=compared
to ^in++++=to
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
( ^zz++++=(27.8
27.8 ^cd++++=EXTRAWORD
and ^cc++++=and
23.3 ^cd++++=23.3,
, ^zz++++=EXTRAWORD
respectively)3 ^nn+++??+=respectively)3.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
period ^nn++++=period
evaluated ^vwbn+++xvbn+=evaluated,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lag ^nn++++=lag
in ^in++++=in
time ^nn++++=time
between ^in++++=between
diagnostic ^nn+++??+=diagnostic
and ^cc++++=and
hospitalization ^nn+++??+=hospitalization
was ^vbd+bedz+vrb++=was
similar ^jj+pred+++=similar
for ^in++++=for
Rio ^np+++??+=Rio
and ^cc++++=and
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo,
, ^zz++++=EXTRAWORD
around ^rp++++=around
5 ^zz++++=5
days ^nns++++=days
( ^zz++++=(5.8
5.8 ^cd++++=EXTRAWORD
and ^cc++++=and
5.9 ^cd++++=5.9,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
