Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
17 ^cd++++=17
articles ^nns++++=articles
were ^vbd+bed+aux++=were
included ^vpsv++agls+xvbnx+=included
in ^in++++=in
this ^dt+dem+++=this
scoping ^nn+++??+=scoping
review ^nn++++=review,
, ^zz++++=EXTRAWORD
all ^abn++++=all
of ^in++++=of
them ^pp3o+pp3+++=them
characterized ^nn+++??+=characterized
as ^ql++++=as
study ^vb++++=study
protocols ^nns++++=protocols
with ^in++++=with
randomized ^nn++++=randomized
clinical ^jj+atrb+++=clinical
trials35 ^nn++++=trials35
51 ^cd++++=51.
. ^zz++++=EXTRAWORD
