As ^in++++=As
shown ^nn++++=shown
in ^in++++=in
the ^ati++++=the
state ^nn++++=state
graph ^nn++++=graph
in ^in++++=in
Figure ^nn++++=Figure
4 ^zz++++=4,
, ^zz++++=EXTRAWORD
all ^abn++++=all
Hmm ^np+++??+=HMM
have ^vb+hv+vrb++=have
four ^cd++++=four
states ^nns++++=states.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
state ^nn++++=state
represents ^vbz++++=represents
a ^at++++=a
different ^jj+atrb+++=different
type ^nn++++=type
of ^in++++=of
location ^nn++++=location
or ^cc++++=or
activity ^nn++++=activity,
, ^zz++++=EXTRAWORD
namely ^rb+cnj+++=namely:
: ^zz++++=EXTRAWORD
Home ^nr++++=Home
( ^zz++++=(C),
c ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Work ^nn++++=Work
( ^zz++++=(T),
t ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Leisure ^nn++++=Leisure
( ^zz++++=(E)
e ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Others ^aps++++=Others
( ^zz++++=(O).
o ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
each ^ppls++++=each
Hmm ^np+++??+=HMM
has ^vbz+hvz+vrb++=has
its ^pp$+it+++=its
own ^ap++++=own
transition ^nn++++=transition
matrix ^nn++++=matrix
, ^zz++++=,
, ^zz++++=,
, ^zz++++=,
which ^whp+rel+subj++=which
presents ^vbz++++=presents
state ^nn++++=state
change ^nn++++=change
probabilities ^nns++++=probabilities
, ^zz++++=,
, ^zz++++=,
( ^zz++++=(
, ^zz++++=,
) ^zz++++=),
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
to ^to++++=to
move ^vbi++++=move
from ^in++++=from
a ^at++++=a
type ^nn++++=type
of ^in++++=of
location ^nn++++=location
( ^zz++++=(j)
j ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^in++++=to
another ^dt++++=another
( ^zz++++=(i);
i ^pp1a+pp1+++=EXTRAWORD
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
a ^at++++=a
matrix ^nn++++=matrix
, ^zz++++=,
, ^zz++++=,
that ^dt+pdem+++=that
shows ^vbz+vprv+++=shows
output ^nn++++=output
probabilities ^nns++++=probabilities
, ^zz++++=,
, ^zz++++=,
( ^zz++++=(
, ^zz++++=,
) ^zz++++=)
for ^in++++=for
each ^dt++++=each
state ^nn++++=state
( ^zz++++=(for
for ^in++++=EXTRAWORD
the ^ati++++=the
k ^zz++++=k
possible ^jj+atrb+++=possible
places ^nns++++=places
where ^wrb+who+++=where
Ha ^uh++++=Ha
in ^in++++=in
the ^ati++++=the
state ^nn++++=state
i ^pp1a+pp1+++=i
could ^md+pos+++=could
go ^vb++++=go
to ^to++++=to)
) ^zz++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
vector ^nn++++=vector
of ^in++++=of
initial ^jj+atrb+++=initial
location ^nn++++=location
probabilities ^nns++++=probabilities.
. ^zz++++=EXTRAWORD
Vector ^nn++++=Vector
is ^vbz+bez+vrb++=is
always ^rb++++=always
( ^zz++++=(1,0,0,0)
1,0,0,0 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
the ^ati++++=the
day ^nn++++=day,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
assumed ^vpsv++agls+xvbnx+=assumed
that ^tht+vcmp+++=that
all ^abn++++=all
citizens ^nns++++=citizens
start ^vb++++=start
the ^ati++++=the
day ^nn++++=day
at ^rb++++=at
home ^nr++++=home.
. ^zz++++=EXTRAWORD
