This ^dt+pdem+++=This
does ^vbz+doz+aux++=does
not ^xnot++not++=not
imply ^vb+vprv+++=imply,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
former ^ap++++=former
prevents ^vbz++++=prevents
every ^at++++=every
possibility ^nn++++=possibility
of ^in++++=of
critical ^jj+atrb+++=critical
assessment ^nn++++=assessment
of ^in++++=of
different ^jj++++=different
religious ^jj++++=religious
and ^cc++++=and
non ^&fw++++=non-religious
- ^zz++++=EXTRAWORD
religious ^jj+atrb+++=EXTRAWORD
worldviews ^nns+++??+=worldviews.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
evidence ^nn++++=evidence
above ^jjb+atrb+++=above
shows ^nns++++=shows,
, ^zz++++=EXTRAWORD
both ^abx++++=both
the ^ati++++=the
Catholic ^jj+atrb+++=Catholic
Church ^npl++++=Church
and ^cc++++=and
the ^ati++++=the
Church ^nn++++=Church
of ^in++++=of
Ireland ^np++++=Ireland
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
concerned ^vpsv++agls+xvbnx+=concerned
with ^in++++=with
providing ^xvbg+++xvbg+=providing
pupils ^nns++++=pupils
with ^in++++=with
the ^ati++++=the
capacity ^nn++++=capacity
to ^to+ncmp+++=to
assess ^vbi++++=assess
truth ^nn++++=truth
and ^cc++++=and
moral ^jj+atrb+++=moral
claims ^nns++++=claims
from ^in++++=from
different ^jj+atrb+++=different
religions ^nns++++=religions,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
why ^wrb+who+++=why
some ^dti++++=some
sections ^nns++++=sections
of ^in++++=of
their ^pp$+pp3+++=their
curriculum ^nn++++=curriculum
were ^vbd+bed+aux++=were
entirely ^rb+amp+splt++=entirely
dedicated ^vpsv++agls+xvbnx+=dedicated
to ^in++++=to
the ^ati++++=the
study ^nn++++=study
of ^in++++=of
other ^ap++++=other
faith ^nn++++=faith
traditions ^nns++++=traditions.
. ^zz++++=EXTRAWORD
As ^ql++++=As
Terence ^np++++=Terence
Mclaughlin ^np+++??+=McLaughlin
( ^zz++++=(1990)
1990 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
argued ^vprf+++xvbnx+=argued,
, ^zz++++=EXTRAWORD
a ^at++++=a
religious ^jj+atrb+++=religious
rearing ^nn++++=rearing
that ^tht+rel+subj++=that
does ^vbz+doz+aux++=does
not ^xnot++not++=not
preclude ^vb++++=preclude
questioning ^nvbg+++xvbg+=questioning
and ^cc++++=and
considerations ^nns++++=considerations
about ^in++++=about
different ^jj+atrb+++=different
perceptions ^nns++++=perceptions
of ^in++++=of
reality ^nn++++=reality
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
impinge ^nn+++??+=impinge
on ^in++++=on
the ^ati++++=the
requirements ^nns++++=requirements
of ^in++++=of
liberal ^jj+atrb+++=liberal
autonomy ^nn++++=autonomy.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
acknowledged ^vpsv++agls+xvbnx+=acknowledged
that ^tht+vcmp+++=that
the ^ati++++=the
very ^ap+amp+++=very
process ^nn++++=process
of ^in++++=of
child ^nn++++=child
upbringing ^nn++++=upbringing
involves ^vbz++++=involves
the ^ati++++=the
imparting ^nn++++=imparting
of ^in++++=of
particular ^jj+atrb+++=particular
teachings ^nns++++=teachings
and ^cc++++=and
moral ^jj+atrb+++=moral
values ^nns++++=values,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
induction ^nn++++=induction
in ^in++++=in
some ^dti++++=some
practices ^nns++++=practices
and ^cc++++=and
activities ^nns++++=activities
that ^tht+rel+subj++=that
contribute ^vb++++=contribute
to ^to++++=to
providing ^vbg+++xvbg+=providing
children ^nns++++=children
with ^in++++=with
a ^at++++=a
familiar ^jj+atrb+++=familiar
environment ^nn++++=environment
of ^in++++=of
comfort ^nn++++=comfort
and ^cc++++=and
security ^nn++++=security,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
becomes ^vbz++++=becomes
clear ^jj++++=clear
that ^tht+jcmp+++=that
a ^at++++=a
denominational ^jj+atrb+++=denominational
schooling ^nn++++=schooling
does ^vbz+doz+vrb++=does
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
per ^nnu++++=per
se ^&fw++++=se,
, ^zz++++=EXTRAWORD
violate ^nn++++=violate
children ^nns++++=children
s ^zz++++=s
basic ^jj+atrb+++=basic
rights7 ^nn++++=rights7.
. ^zz++++=EXTRAWORD
