The ^ati++++=The
chemical ^jj+atrb+++=chemical
composition ^nn++++=composition
of ^in++++=of
valerian ^nn+++??+=valerian
includes ^vb++++=includes
volatile ^jj+atrb+++=volatile
oil ^nn++++=oil
sesquiterpenes ^nns+++??+=sesquiterpenes
( ^zz++++=(including
including ^in++++=EXTRAWORD
valeric ^nn+++??+=valeric
acid ^nn++++=acid),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
iridoids ^nns+++??+=iridoids
( ^zz++++=(valepotriates),
valepotriates ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
alkaloids ^nns+++??+=alkaloids,
, ^zz++++=EXTRAWORD
furanofuran ^nn+++??+=furanofuran,
, ^zz++++=EXTRAWORD
lignans ^nns+++??+=lignans,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
free ^jj+atrb+++=free
amino ^nn+++??+=amino
acids ^nns++++=acids
such ^abl++++=such
as ^ql++++=as
tyrosine ^vb+++??+=tyrosine,
, ^zz++++=EXTRAWORD
arginine ^nn+++??+=arginine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
glutamine ^nn+++??+=glutamine.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
believed ^vpsv++agls+xvbnx+=believed
that ^tht+vcmp+++=that
the ^ati++++=the
sesquiterpene ^nn+++??+=sesquiterpene
components ^nns++++=components
of ^in++++=of
volatile ^jj+atrb+++=volatile
oil ^nn++++=oil
are ^vb+ber+vrb++=are
responsible ^jj+pred+++=responsible
for ^in++++=for
most ^ap+emph+++=most
of ^in++++=of
the ^ati++++=the
biological ^jj+atrb+++=biological
effects ^nns++++=effects
of ^in++++=of
valerian ^nn+++??+=valerian,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
likely ^jj+pred+++=likely
that ^tht+jcmp+++=that
all ^abn++++=all
of ^in++++=of
the ^ati++++=the
active ^jj+atrb+++=active
constituents ^nns++++=constituents
of ^in++++=of
valerian ^nn+++??+=valerian
act ^nn++++=act
synergistically ^nn+++??+=synergistically
to ^to++++=to
produce ^vbi++++=produce
a ^at++++=a
clinical ^jj+atrb+++=clinical
response ^nn++++=response
( ^zz++++=(Houghton,
houghton ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
