The ^ati++++=The
paper ^nn++++=paper
also ^rb++++=also
supplements ^vbz+++??+=supplements
the ^ati++++=the
findings ^nns++++=findings
of ^in++++=of
( ^zz++++=(Sabourin
sabourin ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
bureaucratic ^jj+atrb+++=bureaucratic
adaptation ^nn++++=adaptation
may ^md+pos+++=may
be ^vb+be+aux++=be
restricted ^vpsv++agls+xvbnx+=restricted
either ^dtx++++=either
to ^in++++=to
the ^ati++++=the
minority ^nn++++=minority
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
left ^vpsv++agls+xvbnx+=left
behind ^rb+phrv+++=behind
by ^in++++=by
their ^pp$+pp3+++=their
colleagues ^nns++++=colleagues
or ^cc++++=or
to ^in++++=to
the ^ati++++=the
newcomers ^nns++++=newcomers
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
being ^vbg+beg+aux+xvbg+=being
initiated ^vwbn+++xvbn+=initiated
into ^in++++=into
a ^at++++=a
new ^jj+atrb+++=new
policy ^nn++++=policy
field ^nn++++=field
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
do ^vb+do+aux++=do
not ^xnot++not++=not
have ^vb+hv+vrb++=have
a ^at++++=a
clear ^jj+atrb+++=clear
sense ^nn++++=sense
of ^in++++=of
the ^ati++++=the
dismantling ^nn++++=dismantling
occurring ^nn++++=occurring.
. ^zz++++=EXTRAWORD
