This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
a ^at++++=a
process ^nn++++=process
of ^in++++=of
bureaucratic ^jj+atrb+++=bureaucratic
reshuffling ^nn+++??+=reshuffling
, ^zz++++=,
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
bureaucracy ^nn++++=bureaucracy
is ^vbz+bez+aux++=is
either ^dtx++++=either
purposively ^vb+++??+=purposively
moved ^vbd+++xvbn+=moved
around ^rp++++=around
or ^cc++++=or
bureaucrats ^nns++++=bureaucrats
opt ^vb++++=opt
to ^to++++=to
leave ^vbi++++=leave
their ^pp$+pp3+++=their
positions ^nns++++=positions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
following ^nn++++=following
quote ^vb++++=quote
reflects ^vbz++++=reflects
how ^wrb+who+++=how
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
simply ^rb++++=simply
the ^ati++++=the
result ^nn++++=result
of ^in++++=of
individual ^jj+atrb+++=individual
choices ^nns++++=choices
and ^cc++++=and
preferences ^nns++++=preferences,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
also ^rb++++=also
reflects ^vbz++++=reflects
a ^at++++=a
collective ^jj+atrb+++=collective
process ^nn++++=process,
, ^zz++++=EXTRAWORD
a ^at++++=a
shared ^jj+atrb++xvbn+=shared
perception ^nn++++=perception
of ^in++++=of
how ^wrb+who+++=how
the ^ati++++=the
political ^jj+atrb+++=political
context ^nn++++=context
has ^vbz+hvz+aux++=has
become ^vprf+++xvbn+=become
dangerous ^jj++++=dangerous
or ^cc+phrs+++=or
inappropriate ^jj++++=inappropriate
for ^in++++=for
work ^nn++++=work.
. ^zz++++=EXTRAWORD
