Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
randomized ^nn+++??+=randomized
clinical ^jj+atrb+++=clinical
trials ^nns++++=trials
that ^tht+rel+subj++=that
investigate ^vb++++=investigate
interventions ^nns++++=interventions
with ^in++++=with
physical ^jj+atrb+++=physical
activity ^nn++++=activity
in ^in++++=in
women ^nns++++=women
with ^in++++=with
breast ^nn++++=breast
cancer ^nn++++=cancer
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
shown ^vpsv++agls+xvbnx+=shown
to ^to+vcmp+++=to
be ^vbi++vrb++=be
effective ^jj+pred+++=effective
in ^in++++=in
improving ^xvbg+++xvbg+=improving
fatigue.5 ^nn+++??+=fatigue.5
7 ^zz++++=7,
, ^zz++++=EXTRAWORD
quality ^nn++++=quality
of ^in++++=of
life5,8,9 ^nn+++??+=life5,8,9,
, ^zz++++=EXTRAWORD
decreased ^jj+atrb++xvbn+=decreased
body ^nn++++=body
mass ^nn++++=mass
index ^nn++++=index
( ^zz++++=(BMI)
bmi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
body ^nn++++=body
weight5 ^nn+++??+=weight5,
, ^zz++++=EXTRAWORD
increased ^jj+atrb++xvbn+=increased
muscle ^nn++++=muscle
endurance5 ^nn+++??+=endurance5,
, ^zz++++=EXTRAWORD
muscle ^nn++++=muscle
strength10,11 ^nn+++??+=strength10,11,
, ^zz++++=EXTRAWORD
decreased ^jj+atrb++xvbn+=decreased
symptoms ^nns++++=symptoms
of ^in++++=of
depression ^nn++++=depression
and ^cc++++=and
anxiety6,7,9 ^nn+++??+=anxiety6,7,9,
, ^zz++++=EXTRAWORD
improvement ^nn++++=improvement
in ^in++++=in
shoulder ^nn++++=shoulder
range ^nn++++=range
of ^in++++=of
motion9,10 ^nn+++??+=motion9,10,
, ^zz++++=EXTRAWORD
sleep ^nn++++=sleep
disorders12 ^nn+++??+=disorders12,
, ^zz++++=EXTRAWORD
body ^nn++++=body
image12 ^nn++++=image12,
, ^zz++++=EXTRAWORD
pain13 ^nn++++=pain13
and ^cc++++=and
cardiorespiratory ^nn++++=cardiorespiratory
fitness11,13 ^nn++++=fitness11,13.
. ^zz++++=EXTRAWORD
