Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
reduction ^nn++++=reduction
of ^in++++=of
discrepancies ^nns++++=discrepancies
in ^in++++=in
the ^ati++++=the
public ^jj+atrb+++=public/private
findings ^nns++++=findings
requires ^vbz++++=requires
resources ^nns++++=resources
for ^in++++=for
improvements ^nns++++=improvements
in ^in++++=in
governance ^nn+++??+=governance,
, ^zz++++=EXTRAWORD
hiring ^nn+++??+=hiring
and ^cc++++=and
better ^jjr+atrb+++=better
training ^nn++++=training
of ^in++++=of
health ^nn++++=health
teams ^nns++++=teams,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
purchasing ^jj+atrb++xvbg+=purchasing
equipment ^nn++++=equipment
and ^cc++++=and
adapting ^jj+atrb++xvbg+=adapting
services ^nns++++=services.
. ^zz++++=EXTRAWORD
Public ^jj+atrb+++=Public/private
discrepancies ^nns++++=discrepancies
may ^md+pos+++=may
also ^rb++++=also
be ^vb+be+vrb++=be
due ^jj+pred+++=due
to ^in+jcmp+++=to
greater ^jjr+atrb+++=greater
morbidity ^nn+++??+=morbidity
in ^in++++=in
the ^ati++++=the
public ^jj+atrb+++=public
services ^nns++++=services
clientele ^nn+++??+=clientele,
, ^zz++++=EXTRAWORD
a ^at++++=a
factor ^nn++++=factor
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
fully ^rb+amp+++=fully
accounted ^vbd+++xvbn+=accounted
for ^in+ppvb+++=for
in ^in++++=in
the ^ati++++=the
analysis ^nn++++=analysis
by ^in++++=by
the ^ati++++=the
morbidities ^nns++++=morbidities
included ^vbd+++xvbn+=included.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
well ^rb++++=well
known ^vbd+vprv++xvbn+=known
the ^ati++++=the
greater ^jjr+atrb+++=greater
prevalence ^nn+++??+=prevalence
of ^in++++=of
less ^rbr++++=less
healthy ^jj+atrb+++=healthy
lifestyle ^nn+++??+=lifestyle
habits ^nns++++=habits
in ^in++++=in
these ^dt+dem+++=these
patients ^nns++++=patients
of ^in++++=of
lower ^jjr+atrb+++=lower
socioeconomic ^nn+++??+=socioeconomic
level ^nn++++=level.
. ^zz++++=EXTRAWORD
As ^in++++=As
an ^at++++=an
example ^nn++++=example,
, ^zz++++=EXTRAWORD
food ^nn++++=food
consumption ^nn++++=consumption
data ^nns++++=data
in ^in++++=in
brazil ^np++++=Brazil
are ^vb+ber+vrb++=are
worse ^jjr+pred+++=worse
in ^in++++=in
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
incomes ^nns++++=incomes
15 ^cd++++=15.
. ^zz++++=EXTRAWORD
