Studies ^nns++++=Studies
have ^vb+hv+aux++=have
also ^rb++splt++=also
shown ^vprf+++xvbnx+=shown
that ^tht+vcmp+++=that
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
Valeriana ^np+++??+=Valeriana
officinalis ^nns+++??+=officinalis
extracts ^nns++++=extracts
does ^vbz+doz+aux++=does
not ^xnot++not++=not
produce ^vb++++=produce
side ^nn++++=side
effects ^nns++++=effects,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
dizziness ^nns+++??+=dizziness,
, ^zz++++=EXTRAWORD
gastrointestinal ^nn+++??+=gastrointestinal
problems ^nns++++=problems,
, ^zz++++=EXTRAWORD
allergy ^nn+++??+=allergy,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
paradoxical ^jj+atrb+++=paradoxical
effect ^nn++++=effect
( ^zz++++=(Pinheiro
pinheiro ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
Yao ^np+++??+=Yao
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2007)
2007 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
verified ^vbd+vpub++xvbn+=verified
that ^tht+vcmp+++=that
the ^ati++++=the
ethanolic ^nn+++??+=ethanolic
extract ^nn++++=extract
of ^in++++=of
V ^zz++++=V.
. ^zz++++=EXTRAWORD
officinallis ^vbz+++??+=officinallis
did ^vbd+dod+aux++=did
not ^xnot++not++=not
have ^vb+hv+vrb++=have
adverse ^jj+atrb+++=adverse
effects ^nns++++=effects
on ^in++++=on
embryonic ^nn++++=embryonic
development ^nn++++=development
and ^cc++++=and
fertility ^nn++++=fertility
of ^in++++=of
rodents ^nns++++=rodents.
. ^zz++++=EXTRAWORD
