Since ^cs+sub+++=Since
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
an ^at++++=an
Abm ^np+++??+=ABM,
, ^zz++++=EXTRAWORD
the ^ati++++=the
core ^nn++++=core
of ^in++++=of
the ^ati++++=the
model ^nn++++=model
is ^vbz+bez+aux++=is
constituted ^vpsv++by+xvbnx+=constituted
by ^in++++=by
agents ^nns++++=agents
named ^vbd+++xvbn+=named
human ^jj++++=human
( ^zz++++=(Ha).
ha ^uh++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
Ha ^uh++++=Ha
has ^vbz+hvz+vrb++=has
the ^ati++++=the
ability ^nn++++=ability
to ^to+ncmp+++=to
acquire ^vbi++++=acquire
and ^cc+phrs+++=and
transmit ^vb++++=transmit
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
virus ^nn++++=virus;
; ^zz++++=EXTRAWORD
to ^in++++=to
change ^nn++++=change
the ^ati++++=the
symptoms ^nns++++=symptoms
and ^cc++++=and
health ^nn++++=health
state ^nn++++=state,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
infection ^nn++++=infection
spread ^vbd+++xvbn+=spread,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
change ^nn++++=change
behaviors ^nns+++??+=behaviors
accordingly ^rb++++=accordingly
( ^zz++++=(Infectivity
infectivity ^nn+++??+=EXTRAWORD
submodel ^nn+++??+=submodel,
, ^zz++++=EXTRAWORD
Section ^nn++++=Section
3.1 ^cd++++=3.1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Besides ^rb++++=Besides,
, ^zz++++=EXTRAWORD
each ^dt++++=each
Ha ^uh++++=Ha
has ^vbz+hvz+vrb++=has
specific ^jj+atrb+++=specific
characteristics ^nns++++=characteristics
and ^cc++++=and
attributes ^vbz++++=attributes
corresponding ^jj+++xvbg+=corresponding
to ^in++++=to
specific ^jj+atrb+++=specific
risk ^nn++++=risk
factors ^nns++++=factors
and ^cc++++=and
comorbidities ^nns++++=comorbidities
( ^zz++++=(Epidemiological
epidemiological ^nn++++=EXTRAWORD
characterization ^nn++++=characterization
submodel ^nn++++=submodel,
, ^zz++++=EXTRAWORD
section ^nn++++=Section
3.2 ^cd++++=3.2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
