Currently ^rb+cnj+++=Currently,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
growing ^jj+atrb++xvbg+=growing
interest ^nn++++=interest
in ^in++++=in
phytotherapy ^nn+++??+=phytotherapy
among ^in++++=among
professionals ^nns++++=professionals
and ^cc++++=and
patients ^nns++++=patients.
. ^zz++++=EXTRAWORD
The ^ati++++=The
plants ^nns++++=plants
are ^vb+ber+vrb++=are
rich ^jj+atrb+++=rich
sources ^nns++++=sources
of ^in++++=of
biomolecules ^nns+++??+=biomolecules
with ^in++++=with
therapeutic ^jj+atrb+++=therapeutic
values ^nns++++=values
for ^in++++=for
the ^ati++++=the
treatment ^nn++++=treatment
of ^in++++=of
anxiety ^nn++++=anxiety
( ^zz++++=(Liu
liu ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
Fajemiroye ^np+++??+=Fajemiroye
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
healthcare ^nn+++??+=healthcare
professionals ^nns++++=professionals
lack ^nn++++=lack
information ^nn++++=information
about ^in++++=about
the ^ati++++=the
correct ^jj+atrb+++=correct
use ^nn++++=use
of ^in++++=of
phytoterapy ^nn+++??+=phytoterapy,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
makes ^vbz++++=makes
them ^pp3o+pp3+++=them
question ^nn++++=question
its ^pp$+it+++=its
effectiveness ^nn++++=effectiveness.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
information ^nn++++=information
needs ^vb++++=needs
to ^to+vcmp+++=to
be ^vbi++vrb++=be
available ^jj+pred+++=available
to ^in++++=to
these ^dt+dem+++=these
professionals ^nns++++=professionals
through ^in++++=through
scientific ^jj+atrb+++=scientific
dissemination ^nn+++??+=dissemination,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
phytotherapy ^nn+++??+=phytotherapy
is ^vbz+bez+aux++=is
encouraged ^vpsv++agls+xvbnx+=encouraged,
, ^zz++++=EXTRAWORD
safeguarding ^nvbg+++xvbg+=safeguarding
the ^ati++++=the
patient ^nn++++=patient's
's ^$++++=EXTRAWORD
health ^nn++++=health
and ^cc++++=and
consolidating ^vbg+++xvbg+=consolidating
such ^abl++++=such
an ^at++++=an
important ^jj+atrb+++=important
therapeutic ^jj+atrb+++=therapeutic
aspect ^nn++++=aspect
( ^zz++++=(Sarris
sarris ^nns++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
