Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
a ^at++++=a
change ^nn++++=change
of ^in++++=of
conception ^nn++++=conception
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary,
, ^zz++++=EXTRAWORD
both ^abx++++=both
in ^in++++=in
teachers ^nns++++=teachers
and ^cc++++=and
in ^in++++=in
students ^nns++++=students,
, ^zz++++=EXTRAWORD
to ^to++++=to
overcome ^vbi++++=overcome
the ^ati++++=the
traditional ^jj+atrb+++=traditional
models ^nns++++=models
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
perpetuated ^vpsv++agls+xvbnx+=perpetuated
for ^in++++=for
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
today ^nr+tm+++=today
the ^ati++++=the
possibility ^nn++++=possibility
of ^in++++=of
combining ^nn++++=combining
teaching ^vwbg+vsua++xvbg+=teaching
strategies ^nns+++??+=strategies
with ^in++++=with
Ict ^np+++??+=ICT
arises ^vbz++++=arises,
, ^zz++++=EXTRAWORD
a ^at++++=a
combination ^nn++++=combination
that ^tht+rel+subj++=that
can ^md+pos+++=can
facilitate ^vb++++=facilitate
the ^ati++++=the
flexibility ^nn++++=flexibility
of ^in++++=of
educational ^jj+atrb+++=educational
environments ^nns++++=environments
in ^in++++=in
time ^nn++++=time,
, ^zz++++=EXTRAWORD
place ^nn++++=place
and ^cc++++=and
space ^nn++++=space
( ^zz++++=(Salinas
salinas ^nns++++=EXTRAWORD
2004 ^cd++++=2004).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
