This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
a ^at++++=a
clear ^jj+atrb+++=clear
example ^nn++++=example
of ^in++++=of
a ^at++++=a
picturebook ^nn+++??+=picturebook
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
visual ^nn++++=visual
illustrates ^vbz+vpub+++=illustrates
the ^ati++++=the
message ^nn++++=message
of ^in++++=of
the ^ati++++=the
written ^jj+atrb++xvbn+=written
text ^nn++++=text.
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
the ^ati++++=the
story ^nn++++=story
could ^md+pos+++=could
be ^vb+be+aux++=be
clearly ^rb++splt++=clearly
understood ^vpsv++agls+xvbnx+=understood
just ^rb+emph+++=just
by ^in++++=by
looking ^xvbg+++xvbg+=looking
at ^rb++++=at
the ^ati++++=the
visuals ^nns+++??+=visuals
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
show ^vb+vprv+++=show
the ^ati++++=the
main ^jjb+atrb+++=main
actions ^nns++++=actions
that ^tht+rel+obj++=that
the ^ati++++=the
written ^jj+atrb++xvbn+=written
text ^nn++++=text
narrates ^nns+++??+=narrates.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
children ^nns++++=children
will ^md+prd+++=will
not ^xnot++not++=not
have ^vb+hv+vrb++=have
difficulty ^nn++++=difficulty
understanding ^vwbg+++xvbg+=understanding
the ^ati++++=the
story ^nn++++=story
and ^cc++++=and
observing ^nvbg+++xvbg+=observing
how ^wrb+who+++=how
the ^ati++++=the
visual ^jj+atrb+++=visual
and ^cc+phrs+++=and
verbal ^jj+atrb+++=verbal
modes ^nns++++=modes
combine ^vb++++=combine
to ^to++++=to
reinforce ^vbi++++=reinforce
the ^ati++++=the
main ^jjb+atrb+++=main
meanings ^nns++++=meanings
that ^tht+rel+obj++=that
the ^ati++++=the
actions ^nns++++=actions
by ^in++++=by
the ^ati++++=the
characters ^nns++++=characters
communicate ^vb++++=communicate.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fact ^nn++++=fact
that ^tht+ncmp+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
fixed ^jj+atrb++xvbn+=fixed
place ^nn++++=place
for ^in++++=for
the ^ati++++=the
written ^jj+atrb++xvbn+=written
text ^nn++++=text
( ^zz++++=(sometimes
sometimes ^rb++++=EXTRAWORD
it ^pp3+it+++=it
appears ^vbz+seem+++=appears
before ^in++++=before
the ^ati++++=the
visuals ^nns+++??+=visuals
and ^cc++++=and
in ^in++++=in
other ^ap++++=other
cases ^nns++++=cases
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
after ^cs+sub+++=after
them ^pp3o+pp3+++=them)
) ^zz++++=EXTRAWORD
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
its ^pp$+it+++=its
place ^nn++++=place
does ^vbz+doz+aux++=does
not ^xnot++not++=not
really ^rb+emph+++=really
affect ^vb++++=affect
the ^ati++++=the
way ^nn++++=way
in ^in++++=in
which ^whp+rel+pied++=which
children ^nns++++=children
understand ^vb+vprv+++=understand
the ^ati++++=the
plot ^nn++++=plot
of ^in++++=of
the ^ati++++=the
picturebook ^nn++++=picturebook.
. ^zz++++=EXTRAWORD
