Subsequently ^rb+cnj+++=Subsequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
following ^jj+atrb++xvbg+=following
information ^nn++++=information
was ^vbd+bedz+aux++=was
extracted ^vpsv++agls+xvbnx+=extracted
from ^in++++=from
each ^dt++++=each
one ^pn++++=one:
: ^zz++++=EXTRAWORD
name ^nn++++=name
of ^in++++=of
the ^ati++++=the
program ^nn+++??+=program,
, ^zz++++=EXTRAWORD
objective ^jj+atrb+++=objective
brief ^jj+atrb+++=brief
description ^nn++++=description,
, ^zz++++=EXTRAWORD
university ^npl++++=university,
, ^zz++++=EXTRAWORD
country ^nn++++=country,
, ^zz++++=EXTRAWORD
duration ^nn++++=duration,
, ^zz++++=EXTRAWORD
area ^nn++++=area
and ^cc++++=and
modules ^nns+++??+=modules
courses ^nns++++=courses.
. ^zz++++=EXTRAWORD
A ^at++++=A
brief ^jj++++=brief
summary ^jj++++=summary
of ^in++++=of
the ^ati++++=the
selected ^jj+atrb+++=selected
graduate ^nn++++=graduate
programs ^nns++++=programs
is ^vbz+bez+aux++=is
shown ^vprf+++xvbn+=shown
in ^in++++=in
table ^nn++++=Table
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
