The ^ati++++=The
objective ^nn++++=objective
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
is ^vbz+bez+vrb++=is
to ^in++++=to
review ^nn++++=review
the ^ati++++=the
literature ^nn++++=literature
and ^cc++++=and
arouse ^vb++++=arouse
the ^ati++++=the
interest ^nn++++=interest
of ^in++++=of
health ^nn++++=health
professionals ^nns++++=professionals,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
dental ^jj+atrb+++=dental
surgeons ^nns++++=surgeons,
, ^zz++++=EXTRAWORD
to ^to++++=to
develop ^vbi++++=develop
controlled ^vbd+++xvbn+=controlled
trials ^nns++++=trials
testing ^vwbg+++xvbg+=testing
the ^ati++++=the
efficacy ^nn++++=efficacy
of ^in++++=of
phytotherapeutic ^nn+++??+=phytotherapeutic
medication ^nn++++=medication,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
can ^md+pos+++=can
be ^vb+be+vrb++=be
a ^at++++=a
viable ^jj+atrb+++=viable
and ^cc+phrs+++=and
safe ^jj+atrb+++=safe
alternative ^nn++++=alternative
to ^in++++=to
control ^nn++++=control
anxiety ^nn++++=anxiety
in ^in++++=in
Dentistry ^nn++++=Dentistry,
, ^zz++++=EXTRAWORD
without ^in++++=without
the ^ati++++=the
occurrence ^nn++++=occurrence
of ^in++++=of
unpleasant ^jj+atrb+++=unpleasant
sensations ^nns++++=sensations
to ^to++++=to
the ^ati++++=the
patients ^nns++++=patients.
. ^zz++++=EXTRAWORD
