This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
to ^to++++=to
say ^vbi+vpub+++=say
that ^tht+vcmp+++=that
voice ^nn++++=voice
or ^cc++++=or
shirking ^nn+++??+=shirking
and ^cc++++=and
sabotage ^nn++++=sabotage
do ^vb+do+aux++=do
not ^xnot++not++=not
happen ^vb+++??+=happen.
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
some ^dti++++=some
research ^nn++++=research
participants ^nns++++=participants
did ^vbd+dod+aux++=did
tell ^vb++++=tell
us ^pp1o+pp1+++=us
of ^in++++=of
examples ^nns++++=examples
of ^in++++=of
resistance ^nn++++=resistance
, ^zz++++=,
the ^ati++++=the
most ^ql+emph+++=most
common ^jj++++=common
being ^jj+++xvbg+=being
the ^ati++++=the
stalling ^nn++++=stalling
of ^in++++=of
administrative ^jj+atrb+++=administrative
processes ^nns++++=processes
in ^in++++=in
the ^ati++++=the
hopes ^vb++++=hopes
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
with ^in++++=with
time ^nn++++=time,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
would ^md+prd+++=would
be ^vb+be+vrb++=be
leadership ^nn++++=leadership
turnover ^nn++++=turnover
or ^cc++++=or
the ^ati++++=the
issue ^nn++++=issue
would ^md+prd+++=would
fall ^vb++++=fall
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
agenda ^nn++++=agenda.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
also ^rb++++=also
examples ^nns++++=examples
of ^in++++=of
bureaucrats ^nns++++=bureaucrats
who ^whp+rel+subj++=who
took ^vbd+++xvbn+=took
they ^pp3a+pp3+++=they
resistance ^nn++++=resistance
outside ^in+cmpx+++=outside
of ^in"++++=of
the ^ati++++=the
state ^nn++++=state
and ^cc++++=and
became ^vbd+++xvbn+=became
engaged ^vbd+++xvbn+=engaged
in ^in++++=in
government ^nn++++=government
opposition ^nn++++=opposition
outside ^in+cmpx+++=outside
of ^in"++++=of
their ^pp$+pp3+++=their
work ^nn++++=work
time ^nn++++=time
and ^cc++++=and
official ^jj+atrb+++=official
duties ^nns++++=duties.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
even ^rb++++=even
in ^in++++=in
those ^dt+dem+++=those
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
fear ^vb++++=fear
was ^vbd+bedz+aux++=was
present ^vb++++=present
in ^in++++=in
participants ^nns++++=participants
accounts ^nns++++=accounts.
. ^zz++++=EXTRAWORD
