The ^ati++++=The
first ^od++++=first
observation ^nn++++=observation
is ^vbz+bez+vrb++=is
the ^ati++++=the
existence ^nn++++=existence
of ^in++++=of
two ^cd++++=two
Indicators ^vb++++=Indicators
that ^tht+vcmp+subj++=that
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
weak ^jj++++=weak
from ^in++++=from
this ^dt+dem+++=this
point ^nn++++=point
of ^in++++=of
view ^nn++++=view,
, ^zz++++=EXTRAWORD
with ^in++++=with
less ^rbr++++=less
than ^in++++=than
100 ^cd++++=100
( ^zz++++=(33%)
33 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
data ^nns++++=data
available ^jj++++=available:
: ^zz++++=EXTRAWORD
Strategic ^jj+atrb+++=Strategic
research ^nn++++=research
partnerships ^nns+++??+=partnerships
, ^zz++++=,
with ^in++++=with
only ^rb+down+++=only
missing ^jj+atrb++xvbg+=missing
data ^nns++++=data;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Industry ^nn++++=Industry
co ^nn++++=co-patents
- ^zz++++=EXTRAWORD
patents ^nns++++=EXTRAWORD
, ^zz++++=,
with ^in++++=with
91 ^cd++++=91
grades ^nns++++=grades
available ^jj++++=available,
, ^zz++++=EXTRAWORD
5 ^zz++++=5
missing ^jj+++xvbg+=missing
and ^cc++++=and
204 ^cd++++=204
Not ^xnot++not++=Not
Applicable ^jj++++=Applicable
. ^zz++++=.
Since ^cs+sub+++=Since
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
other ^ap++++=other
34 ^cd++++=34
Indicators ^vb++++=Indicators
that ^tht+vcmp+subj++=that
are ^vb+ber+vrb++=are
more ^rbr++++=more
complete ^jj+pred+++=complete,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
two ^cd++++=two
Indicators ^nns++++=Indicators
will ^md+prd+++=will
be ^vb+be+aux++=be
removed ^vpsv++agls+xvbnx+=removed
from ^in++++=from
the ^ati++++=the
statiscal ^nn+++??+=statiscal
analyses ^nns++++=analyses
from ^in++++=from
now ^rn+tm+++=now
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
to ^to++++=to
avoid ^vbi++++=avoid
the ^ati++++=the
influence ^nn++++=influence
of ^in++++=of
large ^jj+atrb+++=large
number ^nn++++=number
of ^in++++=of
unavailable ^jj+atrb+++=unavailable
data ^nns++++=data.
. ^zz++++=EXTRAWORD
