This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
a ^at++++=a
mixedmethods ^nns+++??+=mixedmethods
research ^nn++++=research
project ^vb++++=project
initiated ^vbd+++xvbn+=initiated
in ^in++++=in
the ^ati++++=the
Summer ^nn++++=Summer
of ^in++++=of
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
six ^cd++++=six
months ^nns++++=months
after ^in++++=after
the ^ati++++=the
inauguration ^nn++++=inauguration
of ^in++++=of
Jair ^np+++??+=Jair
Bolsonaro ^np+++??+=Bolsonaro
in ^in++++=in
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
presidency ^nn++++=presidency.
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
collection ^nn++++=collection
covered ^vbd+++xvbn+=covered
the ^ati++++=the
span ^nn++++=span
of ^in++++=of
two ^cd++++=two
years ^nns++++=years
and ^cc++++=and
involved ^vbd+++xvbn+=involved
a ^at++++=a
snowball ^nn+++??+=snowball
survey ^vb++++=survey
with ^in++++=with
337 ^cd++++=337
former ^ap++++=former
and ^cc++++=and
current ^jj+atrb+++=current
federal ^jj+atrb+++=federal
employees ^nns++++=employees,
, ^zz++++=EXTRAWORD
of ^in++++=of
whom ^whp+rel+pied++=whom
129 ^cd++++=129
were ^vbd+bed+vrb++=were
part ^nn++++=part
of ^in++++=of
semistructured ^nn+++??+=semistructured
interviews ^nns++++=interviews
of ^in++++=of
1 ^zz++++=1
to ^to++++=to
1.5 ^cd++++=1.5
hours ^nns++++=hours.
. ^zz++++=EXTRAWORD
Participants ^nns++++=Participants
were ^vbd+bed+aux++=were
asked ^vpsv++agls+xvbnx+=asked
about ^in++++=about
their ^pp$+pp3+++=their
personal ^jj+atrb+++=personal
trajectories ^nns+++??+=trajectories
and ^cc++++=and
career ^nn++++=career
decisions ^nns++++=decisions.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
not ^xnot++not++=not
asked ^vbd+vsua++xvbn+=asked
directly ^rb++++=directly
about ^in++++=about
policy ^nn++++=policy
dismantling ^nn++++=dismantling.
. ^zz++++=EXTRAWORD
Reported ^jj+atrb++xvbn+=Reported
data ^nns++++=data
represents ^vbz++++=represents
information ^vb++++=information
that ^tht+vcmp+obj++=that
respondents ^nns++++=respondents
volunteered ^vbd+++xvbn+=volunteered
to ^to+vcmp+++=to
the ^ati++++=the
interviewing ^jj+atrb++xvbg+=interviewing
research ^nn++++=research
team ^nn++++=team.
. ^zz++++=EXTRAWORD
Interviews ^nns++++=Interviews
were ^vbd+bed+aux++=were
coded ^vpsv++agls+xvbnx+=coded
and ^cc++++=and
analyzed ^nn++++=analyzed
with ^in++++=with
the ^ati++++=the
aid ^nn++++=aid
of ^in++++=of
the ^ati++++=the
nvivo ^np++++=NVivo
software ^nn++++=software.
. ^zz++++=EXTRAWORD
