Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
interaction ^nn+nom+++=interaction
effect ^nn++++=effect
between ^in++++=between
homophily ^jj++++=homophily
and ^cc+phrs+++=and
clustering ^jj+++xvbg+=clustering
( ^zz++++=(
Fig ^np++++=Fig.
. ^zz++++=EXTRAWORD
3 ^zz++++=3
a ^at++++=a
) ^zz++++=)
reveals ^nns+nom+++=reveals
that ^tht+vcmp+++=that
the ^ati++++=the
combination ^nn+nom+++=combination
of ^in++++=of
high ^nn++++=high
clustering ^vwbg+++xvbg+=clustering
and ^cc++++=and
high ^jj+atrb+++=high
health ^nn++++=health
behavior ^nn++++=behavior
homophily ^rb++++=homophily
produces ^vbz++++=produces
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
final ^jj+atrb+++=final
sizes ^nns++++=sizes.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
negative ^jj+atrb+++=negative
effect ^nn++++=effect
of ^in++++=of
risk ^nn++++=risk
perception ^nn+nom+++=perception
( ^zz++++=(in
in ^in++++=EXTRAWORD
combination ^nn+nom+++=combination
with ^in++++=with
disease ^nn++++=disease
severity ^nn+nom+++=severity
and ^cc++++=and
infectivity ^nn+nom+++=infectivity)
) ^zz++++=EXTRAWORD
on ^in++++=on
final ^jj+atrb+++=final
size ^nn++++=size
( ^zz++++=(
Table ^np++++=Table
2 ^zz++++=2
) ^zz++++=)
suggests ^vbz+vpub+++=suggests,
, ^zz++++=EXTRAWORD
the ^ati++++=the
less ^rbr++++=less
risk ^nn++++=risk
taking ^vwbg+++xvbg+=taking
the ^ati++++=the
agents ^nns++++=agents
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
the ^ati++++=the
quicker ^jjr++++=quicker
they ^pp3a+pp3+++=they
dissolve ^vb++++=dissolve
their ^pp$+pp3+++=their
ties ^nns++++=ties
to ^in++++=to
infectious ^jj+atrb+++=infectious
neighbors ^nns++++=neighbors.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
a ^at++++=a
cluster ^nn+nom+++=cluster
of ^in++++=of
low ^nn++++=low
risk ^vb++++=risk
taking ^vbg+++xvbg+=taking
agents ^nns++++=agents
is ^vbz+bez+vrb++=is
especially ^rb++++=especially
hard ^jj+pred+++=hard
to ^to+jcmp+++=to
infiltrate ^nn+nom+++=infiltrate
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
quick ^jj+atrb+++=quick
dissolution ^nn+nom+++=dissolution
of ^in++++=of
ties ^nns++++=ties
to ^in++++=to
comparatively ^rb++++=comparatively
few ^ap++++=few
infectious ^jj+atrb+++=infectious
neighbors ^nns++++=neighbors
outside ^jjb++++=outside
the ^ati++++=the
cluster ^nn+nom+++=cluster.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
average ^jj+atrb+++=average
epidemic ^nn++++=epidemic
in ^in++++=in
clustered ^vbd+++xvbn+=clustered
networks ^nns++++=networks
is ^vbz+bez+vrb++=is
also ^rb++++=also
shorter ^jjr+pred+++=shorter
and ^cc++++=and
has ^vbz+hvz+vrb++=has
a ^at++++=a
lower ^jjr+atrb+++=lower
peak ^nn++++=peak
size ^nn++++=size
( ^zz++++=(
Table ^np++++=Table
2 ^zz++++=2
) ^zz++++=).
. ^zz++++=EXTRAWORD
Considering ^vbg+++xvbg+=Considering
