Predictor ^nn++++=Predictor
variables ^nns++++=variables
. ^zz++++=.
Openness ^nns+nom+++=Openness
was ^vbd+bedz+aux++=was
computed ^vpsv++by+xvbnx+=computed
by ^in++++=by
taking ^xvbg+++xvbg+=taking
the ^ati++++=the
mean ^nn++++=mean
of ^in++++=of
five ^cd++++=five
responses ^nns++++=responses
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
How ^wrb+who+++=How
much ^rb++++=much
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
closet ^nn++++=closet
to ^in++++=to
the ^ati++++=the
following ^jj+atrb++xvbg+=following
groups ^nns++++=groups
of ^in++++=of
people ^nns++++=people
[ ^zz++++=[family/GLB
family ^nn++++=EXTRAWORD
friends ^nns++++=friends/straight
friends ^nns++++=friends/co-workers/health-care
providers ^nns+nom+++=providers]
] ^zz++++=EXTRAWORD
in ^in++++=in
your ^pp$+pp2+++=your
life ^nn++++=life,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
each ^dt++++=each
rated ^jj+++xvbn+=rated
from ^in++++=from
1 ^zz++++=1
= ^zz++++==
out ^rp+pl+++=out
to ^in++++=to
none ^pn++++=none
to ^to++++=to
5 ^zz++++=5
= ^zz++++==
out ^rp+pl+++=out
to ^in++++=to
all ^abn++++=all
( ^zz++++=(
= ^zz++++==
0.75 ^nn+++??+=0.75).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Lgbtq ^np+++??+=LGBTQ
+ ^zz++++=+
community ^nn+nom+++=community
integration ^nn+nom+++=integration
was ^vbd+bedz+aux++=was
assessed ^vpsv++agls+xvbnx+=assessed
with ^in++++=with
eight ^cd++++=eight
items ^nns++++=items
measuring ^vwbg+++xvbg+=measuring
how ^wrb+who+++=how
integrated ^xvbn+++xvbn+=integrated
respondents ^nns++++=respondents
felt ^vbd+vprv++xvbn+=felt
to ^in+vcmp+++=to
New ^jj+atrb+++=New
York ^np++++=York
City ^np++++=City's
's ^$++++=EXTRAWORD
Lgbtq ^np+++??+=LGBTQ
+ ^zz++++=+
community ^nn+nom+++=community
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
feel ^vb+vprv+tht0++=feel
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
a ^at++++=a
part ^nn++++=part
of ^in++++=of
Nyc ^np++++=NYC's
's ^$++++=EXTRAWORD
