Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
a ^at++++=a
possible ^jj+atrb+++=possible
way ^nn++++=way
of ^in++++=of
interpreting ^xvbg+++xvbg+=interpreting
these ^dt+dem+++=these
findings ^nns++++=findings
in ^in++++=in
a ^at++++=a
constructionist ^nn+nom+++=constructionist
framework ^nn++++=framework
could ^md+pos+++=could
assume ^vb+vprv+++=assume
the ^ati++++=the
existence ^nn+nom+++=existence
of ^in++++=of
formally ^rb++++=formally
distinct ^jj+atrb+++=distinct
constructions ^nns+nom+++=constructions
falling ^vwbg+++xvbg+=falling
under ^in++++=under
one ^cd1++++=one
abstract ^jj+atrb+++=abstract
schema ^nn++++=schema:
: ^zz++++=EXTRAWORD
asyndetic ^jj++++=asyndetic,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
sanctioned ^vbd+++xvbn+=sanctioned
both ^abx++++=both
the ^ati++++=the
( ^zz++++=(outgoing)
outgoing ^jj+++xvbg+=EXTRAWORD
) ^zz++++=EXTRAWORD
Ana ^np+++??+=ANA
and ^cc++++=and
the ^ati++++=the
( ^zz++++=(incoming)
incoming ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Aan ^np+++??+=AAN
constructions ^nns+nom+++=constructions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
conjoined ^jj+++xvbn+=conjoined,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
sanctioned ^vbd+++xvbn+=sanctioned
both ^abx++++=both
the ^ati++++=the
( ^zz++++=(outgoing)
outgoing ^jj+++xvbg+=EXTRAWORD
) ^zz++++=EXTRAWORD
Anca ^np+++??+=ANCA
and ^cc++++=and
the ^ati++++=the
( ^zz++++=(incoming)
incoming ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Acan ^np+++??+=ACAN
constructions ^nns+nom+++=constructions.
. ^zz++++=EXTRAWORD
Traugott ^np+++??+=Traugott
and ^cc++++=and
Trousdale ^np+++??+=Trousdale
( ^zz++++=(2013
2013 ^cd++++=EXTRAWORD
: ^zz++++=:65-66)
65 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
66 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Hilpert ^np+++??+=Hilpert
( ^zz++++=(2013
2013 ^cd++++=EXTRAWORD
: ^zz++++=:463-464)
463 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
464 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
notice ^vb+vprv+++=notice
that ^tht+vcmp+++=that
such ^abl++++=such
temporary ^jj+atrb+++=temporary
coexistence ^nn+nom+++=coexistence
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
uncommon ^jj++++=uncommon
and ^cc++++=and
indicates ^nns+nom+++=indicates
a ^at++++=a
change ^nn++++=change
in ^in++++=in
progress ^nns+nom+++=progress.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mutual ^jj+atrb+++=mutual
relations ^nns+nom+++=relations
between ^in++++=between
both ^abx++++=both
split ^xvbn+++xvbn+=split
patterns ^nns++++=patterns
and ^cc++++=and
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
prenominal ^nn+nom+++=prenominal
counterparts ^nns++++=counterparts
are ^vb+ber+aux++=are
discussed ^vpsv++agls+xvbn+=discussed
more ^rbr++++=more
fully ^rb+amp+++=fully
in ^in++++=in
section ^nn+nom+++=section
5 ^zz++++=5.
. ^zz++++=EXTRAWORD
