Let ^vb+++xvbn+=Let
the ^ati++++=the
variable ^jj++++=variable
c ^zz++++=c
1 ^zz++++=1
capture ^nn++++=capture
Sd1 ^np+++??+=SD1,
, ^zz++++=EXTRAWORD
such ^abl++++=such
that ^dt+dem+++=that
higher ^jjr+atrb+++=higher
values ^nns++++=values
of ^in++++=of
c ^zz++++=c
1 ^zz++++=1
correspond ^vb++++=correspond
to ^in++++=to
higher ^jjr+atrb+++=higher
levels ^nns++++=levels
of ^in++++=of
informal ^jj+atrb+++=informal
work ^nn++++=work,
, ^zz++++=EXTRAWORD
poverty ^nn++++=poverty,
, ^zz++++=EXTRAWORD
inequality ^nn+nom+++=inequality
etc ^rb++++=etc.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
c ^zz++++=c
2 ^zz++++=2
capture ^nn++++=capture
Sd2 ^np+++??+=SD2,
, ^zz++++=EXTRAWORD
such ^abl++++=such
that ^dt+dem+++=that
higher ^jjr+atrb+++=higher
values ^nns++++=values
of ^in++++=of
c ^zz++++=c
2 ^zz++++=2
correspond ^vb++++=correspond
to ^in++++=to
worse ^jjr+atrb+++=worse
conditions ^nns+nom+++=conditions
of ^in++++=of
housing ^nn++++=housing
and ^cc++++=and
c ^zz++++=c
3 ^zz++++=3
capture ^nn++++=capture
Sd3 ^np+++??+=SD3
such ^abl++++=such
that ^dt+dem+++=that
higher ^jjr+atrb+++=higher
values ^nns++++=values
of ^in++++=of
c ^zz++++=c
3 ^zz++++=3
mean ^vb+vprv+++=mean
better ^jjr+atrb+++=better
access ^nn++++=access
to ^in++++=to
health ^nn++++=health
and ^cc++++=and
better ^jjr+atrb+++=better
quality ^nn+nom+++=quality
of ^in++++=of
health ^nn++++=health
infrastructure ^nn+++??+=infrastructure.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
previous ^jj+atrb+++=previous
section ^nn+nom+++=section
both ^abx++++=both
the ^ati++++=the
infection ^nn+nom+++=infection
rate ^nn++++=rate
is ^vbz+bez+vrb++=is
and ^cc++++=and
the ^ati++++=the
Cfr ^np+++??+=CFR
are ^vb+ber+vrb++=are
functions ^nns+nom+++=functions
of ^in++++=of
c ^zz++++=c
1 ^zz++++=1
, ^zz++++=,
c ^zz++++=c
2 ^zz++++=2
and ^cc++++=and
c ^zz++++=c
3 ^zz++++=3
, ^zz++++=,
with ^in++++=with
c ^zz++++=c
i ^pp1a+pp1+++=i
> ^zz++++=>
0 ^zz++++=0
a ^at++++=a
n ^zz++++=n
d ^zz++++=d
c ^zz++++=c
i ^pp1a+pp1+++=i
> ^zz++++=>
0 ^zz++++=0
, ^zz++++=,
f ^zz++++=f
o ^zz++++=o
r ^zz++++=r
i ^pp1a+pp1+++=i
= ^zz++++==
1,2 ^cd++++=1,2
