Following ^jj+++xvbg+=Following
the ^ati++++=the
update ^nn++++=update
of ^in++++=of
the ^ati++++=the
population ^nn+nom+++=population's
's ^vbz+bez+vrb++0=EXTRAWORD
epidemiological ^jj+atrb+++=epidemiological
state ^nn++++=state,
, ^zz++++=EXTRAWORD
social ^jj+atrb+++=social
network ^nn++++=network
dynamics ^nn++++=dynamics
are ^vb+ber+aux++=are
computed ^vpsv++agls+xvbnx+=computed.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
for ^in++++=for
each ^dt++++=each
agent ^nn++++=agent
i ^pp1a+pp1+++=i
in ^in++++=in
random ^jj++++=random
order ^to++++=order
a ^at++++=a
set ^xvbn+++xvbn+=set
J ^zz++++=J
consisting ^vwbg+++xvbg+=consisting
of ^in++++=of
a ^at++++=a
fixed ^jj+atrb++xvbn+=fixed
proportion ^nn+nom+++=proportion
( ^zz++++=(
) ^zz++++=)
of ^in++++=of
agents ^nns++++=agents
from ^in++++=from
the ^ati++++=the
entire ^jjb+atrb+++=entire
population ^nn+nom+++=population
( ^zz++++=(
N ^zz++++=N
) ^zz++++=)
is ^vbz+bez+aux++=is
selected ^vpsv++agls+xvbnx+=selected.
. ^zz++++=EXTRAWORD
To ^to++++=To
realize ^vbi+vprv+++=realize
the ^ati++++=the
concept ^nn++++=concept
of ^in++++=of
focused ^vbd+++xvbn+=focused
interaction ^nn+nom+++=interaction
in ^in++++=in
an ^at++++=an
agent ^nn++++=agent's
's ^vbz+bez+vrb++0=EXTRAWORD
social ^jj+atrb+++=social
vicinity ^nn+nom+++=vicinity
( ^zz++++=(
Feld ^np++++=Feld,
, ^zz++++=EXTRAWORD
1981 ^cd+date+++=1981
) ^zz++++=),
, ^zz++++=EXTRAWORD
J ^zz++++=J
is ^vbz+bez+aux++=is
composed ^vpsv++agls+xvbnx+=composed
of ^in++++=of
neighbors ^nns++++=neighbors
at ^in++++=at
distance ^nn+nom+++=distance
1 ^zz++++=1
and ^cc++++=and
distance ^nn+nom+++=distance
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
agents ^nns++++=agents
randomly ^rb++++=randomly
selected ^vbd+++xvbn+=selected
from ^in++++=from
the ^ati++++=the
entire ^jjb+atrb+++=entire
network ^nn++++=network.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
to ^in++++=to
account ^nn++++=account
for ^in++++=for
homophily ^jj++++=homophily,
, ^zz++++=EXTRAWORD
each ^dt++++=each
single ^jj+atrb+++=single
agent ^nn++++=agent
j ^zz++++=j
is ^vbz+bez+aux++=is
selected ^vpsv++agls+xvbnx+=selected
either ^dtx++++=either
to ^to++++=to
be ^vbi++vrb++=be
the ^ati++++=the
most ^ql+emph+++=most
similar ^jj+atrb+++=similar
agent ^nn++++=agent
regarding ^in++++=regarding
risk ^vb++++=risk
perception ^nn+nom+++=perception
( ^zz++++=(
r ^zz++++=r
) ^zz++++=)
or ^cc++++=or
an ^at++++=an
agent ^nn++++=agent
selected ^vwbn+++xvbn+=selected
without ^in++++=without
regard ^nn++++=regard
to ^in++++=to
risk ^nn++++=risk
perception ^nn+nom+++=perception.
. ^zz++++=EXTRAWORD
More ^rbr++++=More
formally ^rb+cnj+++=formally,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
draw ^vb++++=draw
a ^at++++=a
random ^jj+atrb+++=random
number ^nn++++=number
u ^zz++++=u
from ^in++++=from
the ^ati++++=the
uniform ^jj+atrb+++=uniform
distribution ^nn+nom+++=distribution
U ^zz++++=U
( ^zz++++=(
0,1 ^nn+++??+=0,1
) ^zz++++=)
and ^cc++++=and
compare ^vb++++=compare
compare ^vb++++=compare
this ^dt+dem+++=this
to ^in++++=to
the ^ati++++=the
homogeneity ^nn+nom+++=homogeneity
parameter ^nn+nom+++=parameter
such ^abl++++=such
that ^dt+pdem+++=that:
: ^zz++++=EXTRAWORD
( ^zz++++=(2)
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
j ^zz++++=j
= ^zz++++==
k ^zz++++=k
, ^zz++++=,
with ^in++++=with
k ^zz++++=k
| ^zz++++=|
r ^zz++++=r
i ^pp1a+pp1+++=i
r ^zz++++=r
k ^zz++++=k
| ^zz++++=|
= ^zz++++==
min ^nnu++++=min
k ^zz++++=k
N ^zz++++=N
* ^zz++++=*
| ^zz++++=|
r ^zz++++=r
i ^pp1a+pp1+++=i
r ^zz++++=r
k ^zz++++=k
| ^zz++++=|
, ^zz++++=,
if ^cs+cnd+++=if
u ^zz++++=u
is ^vbz+bez+vrb++=is
a ^at++++=a
randomly ^rb++++=randomly
selected ^jj+atrb++xvbn+=selected
element ^nn+nom+++=element
of ^in++++=of
n ^zz++++=N
