Both ^abx++++=Both
Fischer ^np+++??+=Fischer
( ^zz++++=(2001
2001 ^cd++++=EXTRAWORD
, ^zz++++=,
2012 ^cd++++=2012
) ^zz++++=)
and ^cc++++=and
Haumann ^np+++??+=Haumann
( ^zz++++=(2010)
2010 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
agree ^vb+vpub+++=agree
that ^tht+vcmp+++=that
the ^ati++++=the
postnominal ^jj+atrb+++=postnominal
position ^nn+nom+++=position
( ^zz++++=(for
for ^in++++=EXTRAWORD
the ^ati++++=the
patterns ^nns++++=patterns
either ^dtx++++=either
of ^in++++=of
them ^pp3o+pp3+++=them
see ^vb+vprv+++=see
as ^in++++=as
truly ^rb++++=truly
postnominal ^jj++++=postnominal)
) ^zz++++=EXTRAWORD
favors ^nns++++=favors
adjectives ^nns++++=adjectives
referring ^vbg+++xvbg+=referring
to ^in++++=to
temporary ^jj+atrb+++=temporary
states ^nns++++=states,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
( ^zz++++=(18).
18 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
