Conclusion ^nn++++=Conclusion:
: ^zz++++=EXTRAWORD
Americans ^nns+nom+++=Americans
preferences ^nns+nom+++=preferences
for ^in++++=for
a ^at++++=a
novel ^nn++++=novel
coronavirus ^nns+++??+=coronavirus
vaccine ^nn++++=vaccine
may ^md+pos+++=may
be ^vb+be+vrb++=be
at ^rb++++=at
odds ^nns++++=odds
with ^in++++=with
the ^ati++++=the
vaccine ^nn++++=vaccine
that ^tht+rel+subj++=that
ultimately ^rb++++=ultimately
hits ^vbz++++=hits
the ^ati++++=the
market ^nn++++=market,
, ^zz++++=EXTRAWORD
posing ^jj+++xvbg+=posing
both ^abx++++=both
policy ^nn++++=policy
and ^cc++++=and
health ^nn++++=health
communication ^nn+nom+++=communication
challenges ^vbz++++=challenges
for ^in++++=for
vaccination ^nn+nom+++=vaccination
uptake ^nn++++=uptake.
. ^zz++++=EXTRAWORD
