Work ^nn++++=Work
intensity ^nn+nom+++=intensity
affects ^vbz++++=affects
both ^abx++++=both
conduct ^nn++++=conduct
problems ^nns++++=problems
and ^cc++++=and
emotional ^jj+atrb+++=emotional
symptoms ^nns++++=symptoms
but ^cc++++=but
in ^in++++=in
different ^jj+atrb+++=different
ways ^nns++++=ways.
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
whose ^whp+rel+obj++=whose
parents ^nns++++=parents
experienced ^vbd+++xvbn+=experienced
increasing ^jj+atrb++xvbg+=increasing
work ^nn++++=work
intensity ^nn+nom+++=intensity
over ^in++++=over
the ^ati++++=the
period ^nn++++=period
have ^vb+hv+vrb++=have
on ^in++++=on
average ^jj++++=average
nearly ^rb+down+++=nearly
a ^at++++=a
fifth ^nn++++=fifth
of ^in++++=of
a ^at++++=a
standard ^jj+atrb+++=standard
deviation ^nn+nom+++=deviation
more ^rbr++++=more
conduct ^nn++++=conduct
problems ^nns++++=problems
than ^in++++=than
their ^pp$+pp3+++=their
peers ^nns++++=peers
whose ^whp+rel+obj++=whose
parents ^nns++++=parents
had ^vb+hv+vrb++=had
persistently ^rb++++=persistently
high ^jj+atrb+++=high
work ^nn++++=work
intensity ^nn+nom+++=intensity.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
provides ^vbz+vsua+++=provides
evidence ^nn+nom+++=evidence
for ^in++++=for
one ^cd1++++=one
alternative ^nn++++=alternative
of ^in++++=of
our ^pp$+pp1+++=our
third ^nn++++=third
hypothesis ^nn++++=hypothesis,
, ^zz++++=EXTRAWORD
derived ^j+++xvbn+=derived
from ^in++++=from
the ^ati++++=the
qualitative ^jj+atrb+++=qualitative
literature ^nn++++=literature,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
increasing ^vbg+++xvbg+=increasing
parental ^jj+atrb+++=parental
work ^nn++++=work
intensity ^nn+nom+++=intensity
is ^vbz+bez+vrb++=is
detrimental ^jj+pred+++=detrimental
to ^in++++=to
children ^nns++++=children's
's ^vbz+bez+aux++0=EXTRAWORD
wellbeing ^vbg+++xvbgx+=wellbeing,
, ^zz++++=EXTRAWORD
possibly ^rb++++=possibly
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
its ^pp$+it+++=its
link ^nn++++=link
to ^to++++=to:
: ^zz++++=EXTRAWORD
low ^jj++++=low-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
and ^cc++++=and
poor ^jj+atrb+++=poor
job ^nn++++=job
quality ^nn+nom+++=quality,
, ^zz++++=EXTRAWORD
a ^at++++=a
reduction ^nn+nom+++=reduction
in ^in++++=in
time ^nn++++=time
spent ^vbd+++xvbn+=spent
as ^ql++++=as
a ^at++++=a
family ^nn++++=family,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and/or
a ^at++++=a
change ^nn++++=change
in ^in++++=in
role ^nn++++=role
and ^cc++++=and
responsibility ^nn+nom+++=responsibility
of ^in++++=of
children ^nns++++=children
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
For ^in++++=For
emotional ^jj+atrb+++=emotional
symptoms ^nns++++=symptoms,
, ^zz++++=EXTRAWORD
increasing ^jj+atrb++xvbg+=increasing
work ^nn++++=work
intensity ^nn+nom+++=intensity
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
noticeably ^rb++++=noticeably
different ^jj++++=different
to ^in++++=to
the ^ati++++=the
three ^cd++++=three
stable ^nn++++=stable
work ^nn++++=work
intensity ^nn+nom+++=intensity
patterns ^nns++++=patterns.
. ^zz++++=EXTRAWORD
