Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
theme ^nn++++=theme
of ^in++++=of
system ^nn++++=system
and ^cc++++=and
administration ^nn+nom+++=administration
was ^vbd+bedz+aux++=was
raised ^vpsv++agls+xvbnx+=raised
in ^in++++=in
6 ^zz++++=6%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
sample ^nn++++=sample
of ^in++++=of
positive ^jj+atrb+++=positive
comments ^nns+nom+++=comments
from ^in++++=from
patients ^nns++++=patients
with ^in++++=with
under ^in++++=under
1 ^zz++++=1
year ^nn++++=year
of ^in++++=of
treatment ^nn+nom+++=treatment,
, ^zz++++=EXTRAWORD
in ^in++++=in
9 ^zz++++=9%
% ^zz++++=EXTRAWORD
of ^in++++=of
cases ^nns++++=cases
for ^in++++=for
the ^ati++++=the
1 ^zz++++=1-5
- ^zz++++=EXTRAWORD
5 ^zz++++=EXTRAWORD
years ^nns++++=years
group ^nn++++=group
and ^cc++++=and
8 ^zz++++=8%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
over ^rb++++=over
5 ^zz++++=5
years ^nns++++=years
groups ^nns++++=groups.
. ^zz++++=EXTRAWORD
