Work ^nn++++=Work
intensity ^nn+nom+++=intensity:
: ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
household ^nn++++=household
measure ^nn++++=measure
which ^whp+rel+subj++=which
uses ^vbz++++=uses
the ^ati++++=the
employment ^nn+nom+++=employment
status ^nn++++=status
of ^in++++=of
both ^abx++++=both
partners ^nns+nom+++=partners
for ^in++++=for
couple ^nn++++=couple
families ^nns++++=families
and ^cc++++=and
just ^rb+emph+++=just
one ^pn++++=one
for ^in++++=for
lone ^jjb+atrb+++=lone
parent ^nn++++=parent
families ^nns++++=families.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
variable ^jj++++=variable
that ^dt+pdem+++=that
ranges ^vbz++++=ranges
between ^in++++=between
0 ^zz++++=0
and ^cc++++=and
1 ^zz++++=1.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
couple ^nn++++=couple
family ^nn++++=family,
, ^zz++++=EXTRAWORD
the ^ati++++=the
range ^nn++++=range
is ^vbz+bez+vrb++=is:
: ^zz++++=EXTRAWORD
1 ^zz++++=1
= ^zz++++==
both ^abx++++=both
partners ^nns+nom+++=partners
in ^rb++++=in
full ^rb"++++=full-time
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
work ^nn++++=work;
; ^zz++++=EXTRAWORD
0.75 ^nn+++??+=0.75
= ^zz++++==
one ^cd1++++=one
full ^jj++++=full-time
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
and ^cc++++=and
one ^cd1++++=one
part ^nn++++=part-time
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
partner ^nn++++=partner;
; ^zz++++=EXTRAWORD
0.5 ^nn+++??+=0.5
= ^zz++++==
one ^cd1++++=one
full ^jj++++=full-time
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
or ^cc++++=or
two ^cd++++=two
part ^nn++++=part-time
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
partners ^nns+nom+++=partners;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
0.25 ^nn+++??+=0.25
= ^zz++++==
one ^cd1++++=one
part ^nn++++=part-time
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
partner ^nn++++=partner,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
partner ^nn++++=partner
not ^xnot++not++=not
in ^in++++=in
paid ^vbd+++xvbn+=paid
work ^nn++++=work.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
lone ^jjb+atrb+++=lone
parent ^nn++++=parent
the ^ati++++=the
range ^nn++++=range
is ^vbz+bez+vrb++=is:
: ^zz++++=EXTRAWORD
1 ^zz++++=1
= ^zz++++==
lone ^jjb+atrb+++=lone
parent ^nn++++=parent
working ^vwbg+++xvbg+=working
full ^jj++++=full-time;
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
0.5 ^nn+++??+=0.5
= ^zz++++==
lone ^jjb+atrb+++=lone
parent ^nn++++=parent
working ^vwbg+++xvbg+=working
part ^nn++++=part-time;
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
0 ^zz++++=0
= ^zz++++==
lone ^jjb+atrb+++=lone
parent ^nn++++=parent
not ^xnot++not++=not
working ^jj+++xvbg+=working.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
means ^vbz++++=means
that ^tht+rel+obj++=that
a ^at++++=a
full ^jj++++=full-time
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
working ^vwbg+++xvbg+=working
lone ^jjb+atrb+++=lone
parent ^nn++++=parent
has ^vbz+hvz+vrb++=has
the ^ati++++=the
same ^ap++++=same
weighting ^jj+++xvbg+=weighting
as ^ql++++=as
a ^at++++=a
full ^jj++++=full-time
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
working ^vwbg+++xvbg+=working
couple ^nn++++=couple.
. ^zz++++=EXTRAWORD
To ^to++++=To
measure ^vbi++++=measure
work ^nn++++=work
intensity ^nn+nom+++=intensity
over ^in++++=over
time ^nn++++=time
we ^pp1a+pp1+++=we
used ^vbd+++xvbn+=used
employment ^nn+nom+++=employment
and ^cc++++=and
family ^nn++++=family
status ^nn++++=status
over ^in++++=over
waves ^nns++++=waves
1 ^zz++++=1
9 ^zz++++=9
of ^in++++=of
Gus ^np++++=GUS
to ^to++++=to
define ^vbi++++=define
latent ^jj+atrb+++=latent
classes ^nns++++=classes,
, ^zz++++=EXTRAWORD
similar ^jj++++=similar
to ^in++++=to
our ^pp$+pp1+++=our
Lca ^np+++??+=LCA
for ^in++++=for
longitudinal ^jj+atrb+++=longitudinal
poverty ^nn++++=poverty.
. ^zz++++=EXTRAWORD
Changes ^nns++++=Changes
in ^in++++=in
work ^nn++++=work
intensity ^nn+nom+++=intensity
across ^in+pl+++=across
time ^nn++++=time
are ^vb+ber+aux++=are
captured ^vpsv++agls+xvbnx+=captured
into ^in++++=into
five ^cd++++=five
types ^nns++++=types
of ^in++++=of
trajectories ^nns++++=trajectories:
: ^zz++++=EXTRAWORD
persistently ^rb++++=persistently
high ^jj+atrb+++=high
intensity ^nn+nom+++=intensity;
; ^zz++++=EXTRAWORD
persistently ^rb++++=persistently
low ^jj+atrb+++=low
intensity ^nn+nom+++=intensity;
; ^zz++++=EXTRAWORD
persistent ^jj+atrb+++=persistent
medium ^jjb+atrb+++=medium
intensity ^nn+nom+++=intensity;
; ^zz++++=EXTRAWORD
decreasing ^jj+atrb+++=decreasing
intensity ^nn+nom+++=intensity
and ^cc++++=and
increasing ^jj+atrb+++=increasing
intensity ^nn+nom+++=intensity.
. ^zz++++=EXTRAWORD
