Conclusion ^nn++++=Conclusion:
: ^zz++++=EXTRAWORD
The ^ati++++=The
current ^jj+atrb+++=current
state ^nn++++=state
of ^in++++=of
process ^nns+nom+++=process
evaluations ^nns+nom+++=evaluations
in ^in++++=in
Mhpss ^np+++??+=MHPSS
Rcts ^np+++??+=RCTs
is ^vbz+bez+vrb++=is
heterogeneous ^jj+pred+++=heterogeneous.
. ^zz++++=EXTRAWORD
The ^ati++++=The
quality ^nn+nom+++=quality
of ^in++++=of
process ^nns+nom+++=process
evaluations ^nns+nom+++=evaluations
should ^md+nec+++=should
be ^vb+be+aux++=be
improved ^vpsv++agls+xvbnx+=improved
to ^to++++=to
strengthen ^vbi++++=strengthen
implementation ^nn+nom+++=implementation
science ^nn+nom+++=science
of ^in++++=of
the ^ati++++=the
growing ^jj+atrb+++=growing
number ^nn++++=number
of ^in++++=of
evidence ^nn+nom+++=evidence-informed
- ^zz++++=EXTRAWORD
informed ^vbn+vpub+++=EXTRAWORD
mhpss ^np++++=MHPSS
interventions ^nns+nom+++=interventions.
. ^zz++++=EXTRAWORD
