Like ^in++++=Like
Study ^nn++++=Study
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
find ^vb+vprv+++=find
support ^nn++++=support
for ^in++++=for
Hypothesis ^nn++++=Hypothesis
1 ^zz++++=1:
: ^zz++++=EXTRAWORD
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
more ^ql++++=more
( ^zz++++=(vs.
vs ^in+strn+++=EXTRAWORD
. ^zz++++=EXTRAWORD
less ^ql++++=less)
) ^zz++++=EXTRAWORD
open ^jj++++=open
reported ^jj+++xvbn+=reported
better ^jjr+atrb+++=better
mental ^jj+atrb+++=mental
health ^nn++++=health,
, ^zz++++=EXTRAWORD
b ^zz++++=b
= ^zz++++==
0.149 ^nn+++??+=0.149,
, ^zz++++=EXTRAWORD
Se ^&fw++++=SE
= ^zz++++==
0.051 ^nn+++??+=0.051,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
. ^zz++++=.005,
005 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
95 ^cd++++=95
% ^zz++++=%
Ci ^np+++??+=CI
[ ^zz++++=[0.047,
0.047 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
0.251 ^nn+++??+=0.251].
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition
to ^in++++=to
this ^dt+dem+++=this
direct ^jj+atrb+++=direct
effect ^nn++++=effect,
, ^zz++++=EXTRAWORD
openness ^nns+nom+++=openness
had ^vb+hv+vrb++=had
both ^abx++++=both
beneficial ^jj++++=beneficial
and ^cc+phrs+++=and
costly ^jj+atrb+++=costly
indirect ^jj+atrb+++=indirect
effects ^nns++++=effects
on ^in++++=on
mental ^jj+atrb+++=mental
health ^nn++++=health
through ^in++++=through
community ^nn+nom+++=community
integration ^nn+nom+++=integration,
, ^zz++++=EXTRAWORD
perception ^nn+nom+++=perception
of ^in++++=of
both ^abx++++=both
group ^nn++++=group
and ^cc++++=and
personal ^jj+atrb+++=personal
discrimination ^nn+nom+++=discrimination
and ^cc++++=and,
, ^zz++++=EXTRAWORD
to ^in++++=to
some ^dti++++=some
extent ^nn++++=extent,
, ^zz++++=EXTRAWORD
identity ^nn+nom+++=identity
importance ^nn+nom+++=importance.
. ^zz++++=EXTRAWORD
