Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
results ^nns++++=results
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
health ^nn++++=health
behavior ^nn++++=behavior
homophily ^rb++++=homophily
in ^in++++=in
adaptive ^jj+atrb+++=adaptive
networks ^nns++++=networks
may ^md+pos+++=may
cause ^vb++++=cause
the ^ati++++=the
epidemic ^nn++++=epidemic
to ^in++++=to
end ^nn++++=end
earlier ^jjr++++=earlier
than ^in++++=than
compared ^nn++++=compared
to ^to++++=to
randomly ^rb++splt++=randomly
mixed ^vbi++++=mixed
networks ^nns++++=networks.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
only ^rb+down+++=only
the ^ati++++=the
properties ^nns++++=properties
of ^in++++=of
individual ^jj+atrb+++=individual
actors ^nns++++=actors
but ^cc++++=but
also ^rb++++=also
their ^pp$+pp3+++=their
composition ^nn+nom+++=composition
in ^in++++=in
heterogeneous ^jj+atrb+++=heterogeneous
networks ^nns++++=networks
affect ^vb++++=affect
disease ^nn++++=disease
spread ^vbd+++xvbn+=spread.
. ^zz++++=EXTRAWORD
Consider ^nn+nom+++=Consider,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
a ^at++++=a
risk ^nn++++=risk
averse ^jj+atrb+++=averse
ego ^nn++++=ego
connected ^vbd+++xvbn+=connected
to ^in++++=to
an ^at++++=an
infectious ^nn++++=infectious
alter ^vb++++=alter.
. ^zz++++=EXTRAWORD
The ^ati++++=The
preference ^nn+nom+++=preference
to ^to+vcmp+++=to
avoid ^vbi++++=avoid
the ^ati++++=the
infectious ^nn++++=infectious
alter ^vb++++=alter
lowers ^nn++++=lowers
not ^xnot++not++=not
only ^rb+down+++=only
the ^ati++++=the
probability ^nn+nom+++=probability
to ^to++++=to
get ^vbi++++=get
infected ^vbd+++xvbn+=infected
for ^in++++=for
the ^ati++++=the
ego ^nn++++=ego
but ^cc++++=but
also ^rb++++=also
the ^ati++++=the
probability ^nn+nom+++=probability
for ^in++++=for
all ^rb++++=all
of ^in++++=of
its ^pp$+it+++=its
susceptible ^jj+atrb+++=susceptible
connections ^nns+nom+++=connections.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
even ^rb++++=even
the ^ati++++=the
connections ^nns+nom+++=connections
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
less ^rbr++++=less
risk ^nn++++=risk
averse ^jj+atrb+++=averse
benefit ^nn++++=benefit
from ^in++++=from
the ^ati++++=the
ego ^nn++++=ego's
's ^$++++=EXTRAWORD
decision ^nn++++=decision
to ^to+ncmp+++=to
isolate ^nn+nom+++=isolate
from ^in++++=from
infectious ^nn++++=infectious
alters ^vbz++++=alters.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
results ^nns++++=results
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
the ^ati++++=the
combination ^nn+nom+++=combination
of ^in++++=of
network ^nn++++=network
and ^cc++++=and
actor ^nn++++=actor
properties ^nns++++=properties
shape ^nn++++=shape
disease ^nn++++=disease
spread ^vbd+++xvbn+=spread
in ^in++++=in
combination ^nn+nom+++=combination.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
one ^cd1++++=one
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
a ^at++++=a
cluster ^nn+nom+++=cluster
composed ^vwbn+++xvbn+=composed
of ^in++++=of
mostly ^rb++++=mostly
risk ^vb++++=risk
averse ^jj+atrb+++=averse
agents ^nns++++=agents
increases ^nns++++=increases
the ^ati++++=the
chance ^nn++++=chance
for ^in++++=for
actors ^nns++++=actors
bridging ^vwbg+++xvbg+=bridging
two ^cd++++=two
clusters ^nns+nom+++=clusters
to ^to++++=to
isolate ^nn+nom+++=isolate
the ^ati++++=the
entire ^jjb+atrb+++=entire
cluster ^nn+nom+++=cluster
from ^in++++=from
infectious ^nn++++=infectious
alters ^vbz++++=alters.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
a ^at++++=a
cluster ^nn+nom+++=cluster
containing ^vwbg+++xvbg+=containing
only ^rb+down+++=only
a ^ap++++=a
few ^ap"++++=few
risk ^nn++++=risk
averse ^jj+atrb+++=averse
agents ^nns++++=agents
increases ^nns++++=increases
the ^ati++++=the
chance ^nn++++=chance
for ^in++++=for
actors ^nns++++=actors
bridging ^vwbg+++xvbg+=bridging
two ^cd++++=two
clusters ^nns+nom+++=clusters
to ^to++++=to
maintain ^vbi+vpub+++=maintain
ties ^nns++++=ties
to ^in++++=to
infected ^vbi++++=infected
alters ^nns++++=alters
from ^in++++=from
outside ^jjb++++=outside
the ^ati++++=the
cluster ^nn+nom+++=cluster.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
in ^in++++=in
turn ^nn++++=turn
increases ^vbz++++=increases
the ^ati++++=the
probability ^nn+nom+++=probability
for ^in++++=for
the ^ati++++=the
disease ^nn++++=disease
to ^to++++=to
spread ^vbi++++=spread
into ^in++++=into
the ^ati++++=the
cluster ^nn+nom+++=cluster.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
overall ^jjb+atrb+++=overall
large ^jj+atrb+++=large
impact ^nn++++=impact
of ^in++++=of
homophilous ^jj+atrb+++=homophilous
clusters ^nns+nom+++=clusters
on ^in++++=on
epidemic ^nn++++=epidemic
size ^nn++++=size
results ^nns++++=results
from ^in++++=from
a ^at++++=a
comparably ^jj+atrb+++=comparably
large ^jj+atrb+++=large
chance ^nn++++=chance
of ^in++++=of
entire ^jjb+atrb+++=entire
clusters ^nns+nom+++=clusters
being ^xvbg+++xvbg+=being
isolated ^xvbn+++xvbn+=isolated
from ^in++++=from
the ^ati++++=the
disease ^nn++++=disease.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast
to ^in++++=to
multiple ^jj+atrb+++=multiple
clusters ^nns+nom+++=clusters,
, ^zz++++=EXTRAWORD
isolation ^nn+nom+++=isolation
from ^in++++=from
infections ^nns+nom+++=infections
in ^in++++=in
networks ^nns++++=networks
consisting ^vwbg+++xvbg+=consisting
of ^in++++=of
a ^at++++=a
single ^jj+atrb+++=single
large ^jj+atrb+++=large
cluster ^nn+nom+++=cluster
requires ^vbz++++=requires
more ^ql++++=more
ties ^nns++++=ties
to ^to++++=to
be ^vbi+vbi+aux++=be
cut ^vpsv++agls+xvbnx+=cut
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
such ^abl++++=such
networks ^nns++++=networks
show ^vb+vprv+++=show
a ^at++++=a
higher ^jjr+atrb+++=higher
likelihood ^nn+nom+++=likelihood
for ^in++++=for
the ^ati++++=the
disease ^nn++++=disease
to ^to++++=to
spread ^vbi++++=spread
to ^in++++=to
any ^dti++++=any
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
network ^nn++++=network
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
also ^rb++++=also
watts ^np++++=Watts
and ^cc++++=and
strogatz ^np++++=Strogatz,
, ^zz++++=EXTRAWORD
1998 ^cd+date+++=1998
) ^zz++++=).
. ^zz++++=EXTRAWORD
