Most ^ql+emph+++=Most
existing ^jj+atrb++xvbg+=existing
studies ^nns++++=studies
of ^in++++=of
patient ^nn++++=patient
feedback ^nn+++??+=feedback
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
undertaken ^vpsv++by+xvbnx+=undertaken
by ^in++++=by
researchers ^nns+nom+++=researchers
working ^vwbg+++xvbg+=working
in ^in++++=in
health ^nn++++=health
and ^cc++++=and
medical ^jj+atrb+++=medical
disciplines ^nns++++=disciplines.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
this ^dt+dem+++=this
research ^nn++++=research
has ^vbz+hvz+aux++=has
focussed ^vprf+++xvbnx+=focussed
on ^in++++=on
issues ^nns++++=issues
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
design ^nn++++=design
of ^in++++=of
feedback ^nn+++??+=feedback
mechanisms ^nns+nom+++=mechanisms
( ^zz++++=(
Evans ^np++++=Evans
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007
) ^zz++++=),
, ^zz++++=EXTRAWORD
the ^ati++++=the
reliability ^nn+nom+++=reliability
of ^in++++=of
feedback ^nn+++??+=feedback
data ^nns++++=data
for ^in++++=for
assessing ^xvbg+++xvbg+=assessing
healthcare ^jj+atrb++??+=healthcare
quality ^nn+nom+++=quality
( ^zz++++=(
Sitzia ^np++++=Sitzia,
, ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999
) ^zz++++=),
, ^zz++++=EXTRAWORD
the ^ati++++=the
extent ^nn++++=extent
to ^to++++=to
which ^whp+who+++=which
insights ^nns++++=insights
from ^in++++=from
patient ^nn++++=patient
feedback ^nn+++??+=feedback
actually ^rb+amp+++=actually
lead ^nn++++=lead
to ^in++++=to
service ^nn++++=service
improvements ^nns+nom+++=improvements
( ^zz++++=(
Davies ^np++++=Davies
and ^cc++++=and
Cleary ^np+++??+=Cleary,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
such ^abl++++=such
insights ^nns++++=insights
might ^md+pos+++=might
be ^vb+be+aux++=be
implemented ^vpsv++agls+xvbnx+=implemented
to ^to++++=to
improve ^vbi++++=improve
services ^nns++++=services
and ^cc++++=and
clinical ^jj+atrb+++=clinical
outcomes ^nns+++??+=outcomes
( ^zz++++=(
Veloski ^np++++=Veloski
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006
) ^zz++++=).
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
studies ^nns++++=studies
have ^vb+hv+aux++=have
thus ^rb+cnj+splt++=thus
tended ^vprf+++xvbnx+=tended
to ^to+vcmp+++=to
focus ^vbi++++=focus
on ^in++++=on
the ^ati++++=the
content ^nn++++=content
of ^in++++=of
the ^ati++++=the
feedback ^nn++++=feedback
analysed ^vwbn+++xvbn+=analysed,
, ^zz++++=EXTRAWORD
with ^in++++=with
frequently ^rb++++=frequently
reported ^vbn+vpub++xvbn+=reported
drivers ^nns+nom+++=drivers
of ^in++++=of
feedback ^nn+++??+=feedback
including ^in++++=including
the ^ati++++=the
technical ^jj+atrb+++=technical
quality ^nn+nom+++=quality
of ^in++++=of
care ^nn++++=care,
, ^zz++++=EXTRAWORD
accessibility ^nn+nom+++=accessibility
to ^in++++=to
care ^nn++++=care,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
interpersonal ^nn+nom+++=interpersonal
and ^cc++++=and
communication ^nn+nom+++=communication
skills ^nns++++=skills
of ^in++++=of
practitioners ^nns+nom+++=practitioners
( ^zz++++=(
Greco ^np++++=Greco
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001
; ^zz++++=;
gupta ^np++++=Gupta
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1993 ^cd+date+++=1993
) ^zz++++=).
. ^zz++++=EXTRAWORD
