Regarding ^in++++=Regarding
the ^ati++++=the
wh ^nn+++??+=wh-sentence
- ^zz++++=EXTRAWORD
sentence ^nn+nom+++=EXTRAWORD
in ^in++++=in
( ^zz++++=(47),
47 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
syntactic ^jj+atrb+++=syntactic
status ^nn++++=status
warrants ^nns+nom+++=warrants
examination ^nn+nom+++=examination.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
evidence ^nn+nom+++=evidence
to ^to++++=to
suggest ^vbi+vpub+++=suggest
that ^tht+vcmp+++=that
it ^pp3+it+++=it
functions ^nns+nom+++=functions
as ^in++++=as
a ^at++++=a
free ^jj+atrb+++=free
relative ^jj+atrb+++=relative
clause ^nn++++=clause.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
interpretation ^nn+nom+++=interpretation
is ^vbz+bez+aux++=is
supported ^vpsv++by+xvbnx+=supported
by ^in++++=by
several ^ap++++=several
arguments ^nns+nom+++=arguments.
. ^zz++++=EXTRAWORD
Firstly ^rb+cnj+++=Firstly,
, ^zz++++=EXTRAWORD
an ^at++++=an
analysis ^nn++++=analysis
of ^in++++=of
( ^zz++++=(47)
47 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
indicates ^nns+nom+++=indicates
that ^tht+vcmp+++=that
the ^ati++++=the
wh ^nn+++??+=wh-sentence
- ^zz++++=EXTRAWORD
sentence ^nn+nom+++=EXTRAWORD
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
selected ^vpsv++agls+xvbnx+=selected
as ^ql++++=as
the ^ati++++=the
external ^jj+atrb+++=external
argument ^nn+nom+++=argument
of ^in++++=of
the ^ati++++=the
matrix ^nn++++=matrix
verb ^nn++++=verb,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
serving ^vbg+++xvbg+=serving
as ^ql++++=as
the ^ati++++=the
anchor ^nn++++=anchor
to ^to++++=to
which ^whp+who+++=which
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
juxtaposed ^jj+pred+++=juxtaposed.
. ^zz++++=EXTRAWORD
