Juxtaposition ^np+nom++??+=Juxtaposition
differs ^nns+nom+++=differs
from ^in++++=from
modification ^nn+nom+++=modification
( ^zz++++=(Mathews,
mathews ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1981 ^cd+date+++=1981);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
modification ^nn+nom+++=modification
is ^vbz+bez+aux++=is
present ^vb++++=present
in ^in++++=in
( ^zz++++=(54),
54 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
absent ^jj+pred+++=absent
in ^in++++=in
( ^zz++++=(47).
47 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
as ^in++++=as
discussed ^nn++++=discussed
in ^in++++=in
the ^ati++++=the
section ^nn+nom+++=section
on ^in++++=on
headed ^vbd+++xvbn+=headed
relative ^jj+atrb+++=relative
clauses ^nns++++=clauses,
, ^zz++++=EXTRAWORD
standard ^jj+atrb+++=standard
headed ^jj+atrb++xvbn+=headed
relative ^jj+atrb+++=relative
clauses ^nns++++=clauses
introduced ^vwbn+++xvbn+=introduced
by ^in++++=by
Quem ^np+++??+=QUEM
can ^md+pos+++=can
occur ^vb++++=occur
in ^in++++=in
Brazilian ^jj+atrb+++=Brazilian
Portuguese ^nn+nom+++=Portuguese
Only ^rb+down+++=only
When ^wrb+who+++=when
Quem ^np++++=QUEM
Is ^vbz+bez+vrb++=is
Selected ^jj+pred+++=selected
By ^in++++=by
A ^at++++=a
Preposition ^nn+nom+++=preposition.
 ^zz++++=EXTRAWORD
