Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
applies ^vbz++++=applies
the ^ati++++=the
assumptions ^nns+nom+++=assumptions
and ^cc++++=and
concepts ^nns++++=concepts
of ^in++++=of
agency ^nn++++=agency
theory ^nn++++=theory
to ^in++++=to
the ^ati++++=the
nonprofit ^nn+++??+=nonprofit
context ^nn++++=context
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
examine ^vb++++=examine
the ^ati++++=the
conflicts ^nns++++=conflicts
that ^tht+rel+obj++=that
may ^md+pos+++=may
arise ^vb++++=arise
between ^in++++=between
principals ^nns+nom+++=principals
and ^cc++++=and
agents ^nns++++=agents.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
focuses ^vbz++++=focuses
on ^in++++=on
the ^ati++++=the
agency ^nn++++=agency
relationship ^nn+nom+++=relationship
established ^vbd+++xvbn+=established
when ^wrb+who+++=when
a ^at++++=a
donor ^nn++++=donor
( ^zz++++=(principal)
principal ^jjb++++=EXTRAWORD
) ^zz++++=EXTRAWORD
engages ^nns+nom+++=engages
a ^at++++=a
nonprofit ^nn+++??+=nonprofit
organization ^nn+nom+++=organization
( ^zz++++=(agent)
agent ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^in++++=to
transfer ^nn+nom+++=transfer
donations ^nns+nom+++=donations
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
subject ^nn++++=subject
to ^in++++=to
donor ^nn++++=donor-imposed
- ^zz++++=EXTRAWORD
imposed ^xvbn+++xvbn+=EXTRAWORD
restrictions ^nns+nom+++=restrictions.
. ^zz++++=EXTRAWORD
