Although ^cs+con+++=Although
internet ^jj+atrb++??+=internet
access ^nn++++=access
remains ^nns++++=remains
unevenly ^jj+atrb+++=unevenly
distributed ^jj+atrb++xvbn+=distributed,
, ^zz++++=EXTRAWORD
mobile ^jj+atrb+++=mobile
phone ^nn++++=phone
usage ^nn++++=usage
has ^vbz+hvz+aux++=has
increased ^vprf+++xvbnx+=increased
among ^in++++=among
socially ^rb++++=socially
disadvantaged ^jj+++xvbn+=disadvantaged
Brazilians ^np+++??+=Brazilians,
, ^zz++++=EXTRAWORD
likely ^jj++++=likely
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
relative ^jj+atrb+++=relative
affordability ^nn+nom+++=affordability
of ^in++++=of
these ^dt+dem+++=these
devices ^nns++++=devices.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
2018 ^cd++++=2018
National ^jj+atrb+++=National
Household ^nn++++=Household
Sample ^nn++++=Sample
Survey ^nn++++=Survey
( ^zz++++=(NHSS),
nhss ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
96 ^cd++++=96%
% ^zz++++=EXTRAWORD
of ^in++++=of
Brazilian ^jj+atrb+++=Brazilian
households ^nns++++=households
owned ^vbd+++xvbn+=owned
at ^rb++++=at
least ^rb"++++=least
one ^cd1++++=one
mobile ^jj+atrb+++=mobile
phone ^nn++++=phone.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Information ^nn+nom+++=Information
and ^cc++++=and
Communication ^nn+nom+++=Communication
Technology ^nn++++=Technology
( ^zz++++=(ICT)
ict ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Report ^nn++++=Report
further ^jjb++++=further
indicates ^nns+nom+++=indicates
that ^tht+vcmp+++=that
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
Brazilians ^np+++??+=Brazilians
access ^nn++++=access
the ^ati++++=the
internet ^nn+++??+=internet
via ^in++++=via
mobile ^jj+atrb+++=mobile
phones ^nns++++=phones
for ^in++++=for
routine ^nn++++=routine
activities ^nns+nom+++=activities;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
also ^rb++++=also
notes ^vb++++=notes
that ^tht+vcmp+++=that
significant ^jj+atrb+++=significant
limitations ^nns+nom+++=limitations
persist ^nn+nom+++=persist
for ^in++++=for
tasks ^nns++++=tasks
requiring ^vwbg+vsua++xvbg+=requiring
higher ^jjr+atrb+++=higher
connectivity ^nn+nom+++=connectivity
and ^cc++++=and
greater ^jjr+atrb+++=greater
data ^nns++++=data
capacity ^nn+nom+++=capacity
( ^zz++++=(Brazilian
brazilian ^jj+atrb+++=EXTRAWORD
Institute ^nn++++=Institute
of ^in++++=of
statistics ^nn++++=Statistics
and ^cc++++=and
geography ^nn++++=Geography
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
101 ^cd++++=101).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
