Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
non ^&fw++++=non-significant
- ^zz++++=EXTRAWORD
significant ^jj+atrb+++=EXTRAWORD
upward ^jjb+atrb+++=upward
trend ^nn++++=trend
in ^in++++=in
baseline ^nn+++??+=baseline
admissions ^nns++++=admissions.
. ^zz++++=EXTRAWORD
Implementation ^nn+nom+++=Implementation
of ^in++++=of
the ^ati++++=the
first ^od++++=first
policy ^nn++++=policy
reform ^nn++++=reform
( ^zz++++=(policy
policy ^nn++++=EXTRAWORD
# ^zz++++=#1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
a ^at++++=a
significant ^jj+atrb+++=significant
reduction ^nn+nom+++=reduction
in ^in++++=in
the ^ati++++=the
trend ^nn++++=trend
during ^in++++=during
the ^ati++++=the
intervention ^nn+nom+++=intervention
period ^nn++++=period.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
the ^ati++++=the
modification ^nn+nom+++=modification
of ^in++++=of
the ^ati++++=the
Pnab ^np+++??+=PNAB
( ^zz++++=(policy
policy ^nn++++=EXTRAWORD
# ^zz++++=#2)
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
alter ^vb++++=alter
the ^ati++++=the
direction ^nn+nom+++=direction
of ^in++++=of
the ^ati++++=the
trend ^nn++++=trend
but ^cc++++=but
was ^vbd+bedz+aux++=was
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
a ^at++++=a
decreased ^jj+atrb++xvbn+=decreased
rate ^nn++++=rate
of ^in++++=of
decline ^nn++++=decline.
. ^zz++++=EXTRAWORD
Variations ^nns+nom+++=Variations
in ^in++++=in
trends ^nns++++=trends
and ^cc++++=and
differences ^nns+nom+++=differences
between ^in++++=between
periods ^nns++++=periods
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbn+=observed
according ^in++++=according
to ^to++++=to
the ^ati++++=the
specific ^jj+atrb+++=specific
acsc ^np++++=ACSC
group ^nn++++=group.
. ^zz++++=EXTRAWORD
