Although ^cs+con+++=Although
some ^dti++++=some
criteria ^nns++++=criteria
established ^vwbn+++xvbn+=established
by ^in++++=by
the ^ati++++=the
Who ^whp+who+++=WHO
were ^vbd+bed+aux++=were
met ^vpsv++agls+xvbnx+=met,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
Brazilian ^jj++++=Brazilian
states ^vbz+vpub+++=states
did ^vbd+dod+aux++=did
not ^xnot++not++=not
implement ^nn+nom+++=implement
concrete ^jj+atrb+++=concrete
policies ^nns++++=policies
for ^in++++=for
the ^ati++++=the
screening ^nvbg+++xvbg+=screening,
, ^zz++++=EXTRAWORD
monitoring ^nvbg+++xvbg+=monitoring,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
in ^rb++++=in
particular ^rb"++++=particular,
, ^zz++++=EXTRAWORD
optimization ^nn+nom+++=optimization
of ^in++++=of
testing ^xvbg+++xvbg+=testing
for ^in++++=for
suspected ^jj+atrb++xvbn+=suspected
cases ^nns++++=cases.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
the ^ati++++=the
states ^nns++++=states
of ^in++++=of
Par ^&fw++++=Par
, ^zz++++=,
Mato ^np+++??+=Mato
Grosso ^np+++??+=Grosso
do ^vb+do+vrb++=do
Sul ^np+++??+=Sul,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Santa ^&fw++++=Santa
Catarina ^np+++??+=Catarina
reported ^vbd+vpub+tht0+xvbn+=reported
indicators ^nns++++=indicators
related ^vbd+++xvbn+=related
to ^in++++=to
these ^dt+dem+++=these
categories ^nns++++=categories;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
efforts ^nns++++=efforts
were ^vbd+bed+aux++=were
limited ^vpsv++agls+xvbnx+=limited,
, ^zz++++=EXTRAWORD
as ^ql++++=as
only ^rb+down+++=only
Par ^&fw++++=Par
provided ^xvbn+++xvbn+=provided
a ^at++++=a
description ^nn+nom+++=description
of ^in++++=of
the ^ati++++=the
metric ^nn++++=metric
used ^md"++pmd"++=used
to ^to++++=to
calculate ^nn+nom+++=calculate
the ^ati++++=the
indicator ^nn++++=indicator.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
finding ^nvbg+++xvbg+=finding
is ^vbz+bez+vrb++=is
significant ^jj+pred+++=significant
because ^cs+cos+++=because,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
prioritization ^nn+nom+++=prioritization
by ^in++++=by
the ^ati++++=the
public ^nn++++=public
tracking ^vwbg+++xvbg+=tracking
system ^nn++++=system,
, ^zz++++=EXTRAWORD
reopening ^nn++++=reopening
plans ^nns++++=plans
may ^md+pos+++=may
be ^vb+be+aux++=be
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
information ^nn+nom+++=information
that ^tht+vcmp+subj++=that
does ^vbz+doz+aux++=does
not ^xnot++not++=not
accurately ^rb++++=accurately
reflect ^vb+vprv+++=reflect
the ^ati++++=the
epidemiological ^jj+atrb+++=epidemiological
situation ^nn+nom+++=situation
within ^in++++=within
each ^dt++++=each
state ^nn++++=state.
. ^zz++++=EXTRAWORD
