While ^cs+sub+++=While
university ^npl+nom+++=university
textbooks ^nns++++=textbooks
constitute ^vb++++=constitute
a ^at++++=a
well ^rb++++=well-established
- ^zz++++=EXTRAWORD
established ^vbd+vprv++xvbn+=EXTRAWORD
segment ^nn+nom+++=segment
of ^in++++=of
the ^ati++++=the
publishing ^jj+atrb++xvbg+=publishing
industry ^nn++++=industry
and ^cc++++=and
provide ^vb+vsua+++=provide
a ^at++++=a
structured ^jj+atrb++xvbn+=structured
framework ^nn++++=framework
for ^in++++=for
the ^ati++++=the
instructional ^jj+atrb+++=instructional
design ^nn++++=design
of ^in++++=of
many ^ap++++=many
post ^nn++++=post-secondary
- ^zz++++=EXTRAWORD
secondary ^jj+atrb+++=EXTRAWORD
courses ^nns++++=courses,
, ^zz++++=EXTRAWORD
numerous ^jj+atrb+++=numerous
instructors ^nns++++=instructors
particularly ^rb++++=particularly
in ^in++++=in
the ^ati++++=the
social ^jj+atrb+++=social
sciences ^nns+nom+++=sciences
and ^cc++++=and
humanities ^nns+nom+++=humanities
have ^vb+hv+vrb++=have
for ^in++++=for
decades ^nns++++=decades
chosen ^vbd+++xvbn+=chosen
instead ^rb+cnj+++=instead
to ^to++++=to
assign ^vbi++++=assign
students ^nns++++=students
a ^at++++=a
diverse ^jj+atrb+++=diverse
selection ^nn+nom+++=selection
of ^in++++=of
articles ^nns++++=articles,
, ^zz++++=EXTRAWORD
book ^nn++++=book
chapters ^nns+nom+++=chapters,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
excerpts ^nns++++=excerpts
sourced ^vbd+++xvbn+=sourced
from ^in++++=from
original ^jj++++=original
scholarly ^jj++++=scholarly
and ^cc++++=and
trade ^nn++++=trade
publications ^nns+nom+++=publications.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
compilations ^nns+nom+++=compilations,
, ^zz++++=EXTRAWORD
as ^in++++=as
described ^nn++++=described
by ^in++++=by
Ehren ^np+++??+=Ehren
Helmut ^np++++=Helmut
Pflugfelder ^np+nom++??+=Pflugfelder
( ^zz++++=(2012,
2012 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
249 ^cd++++=249),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
occupy ^vb++++=occupy
a ^at++++=a
marginal ^jj+atrb+++=marginal
position ^nn+nom+++=position
within ^in++++=within
academic ^jj+atrb+++=academic
resource ^nn++++=resource
provision ^nn++++=provision.
. ^zz++++=EXTRAWORD
The ^ati++++=The
widespread ^jj+atrb+++=widespread
adoption ^nn+nom+++=adoption
of ^in++++=of
this ^dt+dem+++=this
approach ^nn++++=approach
became ^vbd+++xvbn+=became
feasible ^jj++++=feasible
with ^in++++=with
the ^ati++++=the
emergence ^nn+nom+++=emergence
of ^in++++=of
copy ^nn++++=copy-shops
- ^zz++++=EXTRAWORD
shops ^nns++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
1980s ^cd+date+++=1980s,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
facilitated ^vbd+++xvbn+=facilitated
the ^ati++++=the
reproduction ^nn+nom+++=reproduction
and ^cc++++=and
distribution ^nn+nom+++=distribution
of ^in++++=of
these ^dt+dem+++=these
materials ^nns+nom+++=materials.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
practices ^nns++++=practices
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
subject ^nn++++=subject
to ^in++++=to
copyright ^nn+++??+=copyright
infringement ^nn+nom+++=infringement
litigation ^nn+nom+++=litigation,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
notably ^rb++++=notably
exemplified ^vpsv++by+xvbn+=exemplified
by ^in++++=by
the ^ati++++=the
Basic ^jj+atrb+++=Basic
Books ^nns++++=Books
v ^zz++++=v.
. ^zz++++=EXTRAWORD
Kinko ^np++++=Kinko's
's ^$++++=EXTRAWORD
Graphics ^np+++??+=Graphics
 ^zz++++=(1991)
991 ^np+date+++=EXTRAWORD
	 ^zz++++=EXTRAWORD
Case ^nn++++=case
In ^in++++=in
The ^ati++++=the
United ^np++++=United
States ^nns++++=States.
 ^zz++++=EXTRAWORD
