Laboratory ^nn++++=Laboratory
culture ^nn++++=culture
techniques ^nns++++=techniques
for ^in++++=for
macroalgae ^nn+++??+=macroalgae
are ^vb+ber+vrb++=are
essential ^nn++++=essential
tools ^nns++++=tools
in ^in++++=in
ecophysiological ^jj+atrb+++=ecophysiological
research ^nn++++=research
and ^cc++++=and
for ^in++++=for
the ^ati++++=the
production ^nn+nom+++=production
of ^in++++=of
compounds ^nns++++=compounds
of ^in++++=of
interest ^nn++++=interest
to ^in++++=to
humans ^nns++++=humans
( ^zz++++=(Fernandes
fernandes ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Berland ^np+++??+=Berland
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(1972)
1972 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
that ^tht+vcmp+++=that
contaminants ^nns+nom+++=contaminants
present ^nn++++=present
in ^in++++=in
macroalgal ^jj+atrb+++=macroalgal
culture ^nn++++=culture
media ^nns++++=media
often ^rb++++=often
proliferate ^nn+nom+++=proliferate
more ^rbr++++=more
rapidly ^rb++++=rapidly
than ^in++++=than
the ^ati++++=the
macroalgae ^nn+++??+=macroalgae
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
competing ^jj+++xvbg+=competing
for ^in++++=for
nutrients ^nns++++=nutrients
and ^cc++++=and
releasing ^jj+atrb++xvbg+=releasing
substances ^nns+nom+++=substances
that ^tht+rel+subj++=that
can ^md+pos+++=can
inhibit ^vb++++=inhibit
algal ^jj+atrb+++=algal
growth ^nn++++=growth.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Fernandes ^np++++=Fernandes
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2011),
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
establishing ^vbg+++xvbg+=establishing
and ^cc+phrs+++=and
maintaining ^vbg+++xvbg+=maintaining
macroalgal ^jj+atrb+++=macroalgal
cultures ^nns++++=cultures
free ^jj++++=free
from ^in++++=from
contaminating ^jj+atrb+++=contaminating
organisms ^nns+nom+++=organisms
remains ^vbz++++=remains
a ^at++++=a
significant ^jj+atrb+++=significant
challenge ^nn++++=challenge
for ^in++++=for
researchers ^nns+nom+++=researchers.
. ^zz++++=EXTRAWORD
Various ^jj+atrb+++=Various
contaminants ^nns+nom+++=contaminants,
, ^zz++++=EXTRAWORD
including ^in++++=including
cyanobacteria ^nn+++??+=cyanobacteria,
, ^zz++++=EXTRAWORD
microalgae ^nn+++??+=microalgae,
, ^zz++++=EXTRAWORD
fungi ^nns++++=fungi,
, ^zz++++=EXTRAWORD
heterotrophic ^jj+atrb+++=heterotrophic
bacteria ^nns++++=bacteria,
, ^zz++++=EXTRAWORD
protozoa ^nn+++??+=protozoa,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
invertebrates ^nns+nom+++=invertebrates,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
capable ^jj+pred+++=capable
of ^in++++=of
growing ^nn++++=growing
in ^in++++=in
these ^dt+dem+++=these
cultures ^nns++++=cultures.
. ^zz++++=EXTRAWORD
Typically ^rb+cnj+++=Typically,
, ^zz++++=EXTRAWORD
the ^ati++++=the
primary ^jj+atrb+++=primary
source ^nn++++=source
of ^in++++=of
contamination ^nn+nom+++=contamination
in ^in++++=in
macroalgal ^jj+atrb+++=macroalgal
cultures ^nns++++=cultures
is ^vbz+bez+vrb++=is
the ^ati++++=the
biota ^nn++++=biota
associated ^vwbn+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
algal ^jj+atrb+++=algal
surface ^nn++++=surface.
. ^zz++++=EXTRAWORD
