Given ^vbd+++xvbn+=Given
these ^dt+dem+++=these
considerations ^nns+nom+++=considerations,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
concluded ^vpsv++agls+xvbnx+=concluded
that ^tht+vcmp+++=that
the ^ati++++=the
wh ^nn+++??+=wh-sentence
- ^zz++++=EXTRAWORD
sentence ^nn+nom+++=EXTRAWORD
in ^in++++=in
( ^zz++++=(47)
47 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
functions ^nns+nom+++=functions
as ^in++++=as
a ^at++++=a
free ^jj+atrb+++=free
relative ^jj+atrb+++=relative
clause ^nn++++=clause
with ^in++++=with
appositive ^jj+atrb+++=appositive
content ^nn++++=content,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
as ^ql++++=as
a ^at++++=a
standard ^nn++++=standard
appositive ^jj++++=appositive
( ^zz++++=(headed)
headed ^vbd+++xvbn+=EXTRAWORD
) ^zz++++=EXTRAWORD
relative ^jj+atrb+++=relative
clause ^nn++++=clause.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
does ^vbz+doz+aux++=does
not ^xnot++not++=not
imply ^vb+vprv+++=imply
that ^tht+vcmp+++=that
the ^ati++++=the
wh ^nn+++??+=wh-sentence
- ^zz++++=EXTRAWORD
sentence ^nn+nom+++=EXTRAWORD
in ^in++++=in
( ^zz++++=(47)
47 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
derived ^vpsv++agls+xvbnx+=derived
from ^in++++=from
a ^at++++=a
headed ^jj+++xvbn+=headed
appositive ^jj+atrb+++=appositive
relative ^jj+atrb+++=relative
clause ^nn++++=clause,
, ^zz++++=EXTRAWORD
as ^ql++++=as
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
evidence ^nn+nom+++=evidence
to ^in++++=to
support ^nn++++=support
such ^abl++++=such
a ^at++++=a
derivation ^nn+nom+++=derivation.
. ^zz++++=EXTRAWORD
