Subsequently ^rb+cnj+++=Subsequently,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
analyzed ^vbd+++xvbn+=analyzed
the ^ati++++=the
performance ^nn+nom+++=performance
of ^in++++=of
Brazilian ^jj+atrb+++=Brazilian
universities ^nns+nom+++=universities
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
included ^vpsv++agls+xvbnx+=included
in ^in++++=in
the ^ati++++=the
dataset ^nn+++??+=dataset
for ^in++++=for
all ^rb++++=all
four ^cd++++=four
years ^nns++++=years
under ^in++++=under
review ^nn++++=review
( ^zz++++=(2017
2017 ^cd++++=EXTRAWORD
2020 ^cd++++=2020),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
utilizing ^jj+++xvbg+=utilizing
only ^rb+down+++=only
those ^dt+dem+++=those
indicators ^nns++++=indicators
for ^in++++=for
which ^whp+rel+pied++=which
more ^rbr++++=more
than ^in++++=than
90 ^cd++++=90%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
data ^nns++++=data
were ^vbd+bed+vrb++=were
available ^jj+pred+++=available.
. ^zz++++=EXTRAWORD
The ^ati++++=The
selected ^jj+atrb++xvbn+=selected
indicators ^nns++++=indicators
comprise ^vb++++=comprise
citation ^nn+nom+++=citation
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
research ^nn++++=research
publications ^nns+nom+++=publications
( ^zz++++=(absolute
absolute ^jj+atrb+++=EXTRAWORD
numbers ^nns+nom+++=numbers),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
research ^nn++++=research
publications ^nns+nom+++=publications
( ^zz++++=(size-normalized),
size ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
normalized ^jj+++xvbn+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
top ^nn++++=top-cited
- ^zz++++=EXTRAWORD
cited ^xvbn+++xvbn+=EXTRAWORD
publications ^nns+nom+++=publications,
, ^zz++++=EXTRAWORD
interdisciplinary ^nn+nom+++=interdisciplinary
publications ^nns+nom+++=publications,
, ^zz++++=EXTRAWORD
co ^nn++++=co-publications
- ^zz++++=EXTRAWORD
publications ^nns+nom+++=EXTRAWORD
with ^in++++=with
industrial ^jj+atrb+++=industrial
partners ^nns+nom+++=partners,
, ^zz++++=EXTRAWORD
patents ^nns++++=patents
awarded ^vwbn+++xvbn+=awarded
( ^zz++++=(absolute
absolute ^jj+atrb+++=EXTRAWORD
numbers ^nns+nom+++=numbers),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
patents ^nns++++=patents
awarded ^vwbn+++xvbn+=awarded
( ^zz++++=(size-normalized),
size ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
normalized ^jj+++xvbn+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
spinoffs ^nns+++??+=spinoffs,
, ^zz++++=EXTRAWORD
publications ^nns+nom+++=publications
cited ^vbd+++xvbn+=cited
in ^in++++=in
patents ^nns++++=patents,
, ^zz++++=EXTRAWORD
international ^jj+atrb+++=international
joint ^jjb+atrb+++=joint
publications ^nns+nom+++=publications,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
regional ^jj+atrb+++=regional
joint ^jjb+atrb+++=joint
publications ^nns+nom+++=publications.
. ^zz++++=EXTRAWORD
