Morphology ^nn++++=Morphology
and ^cc++++=and
biomass ^nns+++??+=biomass
partitioning ^vwbg+++xvbg+=partitioning
The ^ati++++=The
retention ^nn+nom+++=retention
of ^in++++=of
solar ^jj+atrb+++=solar
radiation ^nn+nom+++=radiation
flux ^nn++++=flux
and ^cc++++=and
species ^nns++++=species
had ^vb+hv+vrb++=had
a ^at++++=a
significant ^jj+atrb+++=significant
effect ^nn++++=effect
on ^in++++=on
leaf ^nn++++=leaf
area ^nn++++=area
( ^zz++++=(LA).
la ^&fw++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
glomerata ^jj+++??+=glomerata
exhibited ^jj+++xvbn+=exhibited
higher ^jjr++++=higher
La ^&fw++++=LA
than ^in++++=than
M ^zz++++=M.
. ^zz++++=EXTRAWORD
laevigata ^nn+++??+=laevigata
at ^rb++++=at
both ^abx++++=both
90 ^cd++++=90
and ^cc++++=and
150 ^cd++++=150
days ^nns++++=days
after ^in++++=after
transplanting ^xvbg+++xvbg+=transplanting
( ^zz++++=(DAT)
dat ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
4 ^zz++++=4).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
At ^rb++++=At
90 ^cd++++=90
Dat ^np+++??+=DAT,
, ^zz++++=EXTRAWORD
the ^ati++++=the
La ^&fw++++=LA
of ^in++++=of
M ^zz++++=M.
. ^zz++++=EXTRAWORD
glomerata ^nn+++??+=glomerata
and ^cc++++=and
M ^zz++++=M.
. ^zz++++=EXTRAWORD
laevigata ^nn+++??+=laevigata
plants ^nns++++=plants
grown ^vbd+++xvbn+=grown
under ^in++++=under
I0 ^np+++??+=I0
was ^vbd+bedz+vrb++=was
50 ^cd++++=50%
% ^zz++++=EXTRAWORD
and ^cc++++=and
12 ^cd++++=12%
% ^zz++++=EXTRAWORD
higher ^jjr++++=higher,
, ^zz++++=EXTRAWORD
respectively ^rb+cnj+++=respectively,
, ^zz++++=EXTRAWORD
compared ^j+++xvbn+=compared
to ^in++++=to
those ^dt+pdem+++=those
grown ^vbd+++xvbn+=grown
under ^in++++=under
I75 ^np+++??+=I75
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
4a ^cd++++=4a).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
At ^rb++++=At
150 ^cd++++=150
Dat ^np+++??+=DAT,
, ^zz++++=EXTRAWORD
the ^ati++++=the
difference ^nn+nom+++=difference
in ^in++++=in
La ^&fw++++=LA
between ^in++++=between
plants ^nns++++=plants
grown ^vbd+++xvbn+=grown
under ^in++++=under
I0 ^np+++??+=I0
and ^cc++++=and
I75 ^np+++??+=I75
ranged ^vbd+++xvbn+=ranged
from ^in++++=from
23 ^cd++++=23%
% ^zz++++=EXTRAWORD
to ^to++++=to
27 ^cd++++=27%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
at ^rb++++=at
150 ^cd++++=150
Dat ^np+++??+=DAT,
, ^zz++++=EXTRAWORD
the ^ati++++=the
La ^&fw++++=LA
of ^in++++=of
M ^zz++++=M.
. ^zz++++=EXTRAWORD
glomerata ^nn+++??+=glomerata
plants ^nns++++=plants
grown ^vbd+++xvbn+=grown
under ^in++++=under
I0 ^np+++??+=I0,
, ^zz++++=EXTRAWORD
I25 ^np+++??+=I25,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I50 ^np+++??+=I50
was ^vbd+bedz+vrb++=was
1.7 ^cd++++=1.7
times ^nns++++=times
greater ^jjr++++=greater
than ^cs+sub+++=than
that ^dt+dem+++=that
of ^in++++=of
M ^zz++++=M.
. ^zz++++=EXTRAWORD
laevigata ^nn+++??+=laevigata
plants ^nns++++=plants
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
4b ^cd++++=4b).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Specific ^jj+atrb+++=Specific
leaf ^nn++++=leaf
area ^nn++++=area
( ^zz++++=(SLA)
sla ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
decreased ^vprf+++xvbn+=decreased
with ^in++++=with
increasing ^xvbg+++xvbg+=increasing
levels ^nns++++=levels
of ^in++++=of
solar ^jj+atrb+++=solar
radiation ^nn+nom+++=radiation
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
4c ^cd++++=4c,
, ^zz++++=EXTRAWORD
d ^zz++++=d).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
both ^abx++++=both
species ^nns++++=species
at ^rb++++=at
150 ^cd++++=150
Dat ^np+++??+=DAT,
, ^zz++++=EXTRAWORD
