There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
predominance ^nn+nom+++=predominance
of ^in++++=of
significant ^jj+atrb+++=significant
spatial ^jj+atrb+++=spatial
clusters ^nns+nom+++=clusters
of ^in++++=of
femicide ^nn+++??+=femicide
rates ^nns++++=rates
in ^in++++=in
the ^ati++++=the
central ^jj+atrb+++=central
region ^nn++++=region
of ^in++++=of
Sergipe ^np+++??+=Sergipe
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
2 ^zz++++=2),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
confirmed ^nn++++=confirmed
by ^in++++=by
the ^ati++++=the
Local ^jj+atrb+++=Local
Indicators ^nns++++=Indicators
of ^in++++=of
Spatial ^jj+atrb+++=Spatial
Association ^nn+nom+++=Association
( ^zz++++=(LISA)
lisa ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
analysis ^nn++++=analysis
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
3 ^zz++++=3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Previous ^jj+atrb+++=Previous
studies ^nns++++=studies
have ^vb+hv+aux++=have
indicated ^vprf+++xvbnx+=indicated
the ^ati++++=the
possibility ^nn+nom+++=possibility
of ^in++++=of
unique ^jj+atrb+++=unique
contextual ^nn+nom+++=contextual
factors ^nns++++=factors
in ^in++++=in
central ^jj+atrb+++=central
Sergipe ^np+++??+=Sergipe,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
no ^at++++=no
spatial ^jj+atrb+++=spatial
dependence ^nn+nom+++=dependence
of ^in++++=of
femicide ^nn+++??+=femicide
rates ^nns++++=rates
was ^vbd+bedz+aux++=was
identified ^vpsv++agls+xvbnx+=identified
among ^in++++=among
Sergipe ^np+++??+=Sergipe
s ^zz++++=s
municipalities ^nns+nom+++=municipalities
in ^in++++=in
2017 ^cd++++=2017.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
findings ^nns++++=findings
by ^in++++=by
Grana ^np+++??+=Grana
and ^cc++++=and
by ^in++++=by
Meneghel ^np+++??+=Meneghel
& ^zz++++=&
Portella ^np+++??+=Portella
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
the ^ati++++=the
incidence ^nn+nom+++=incidence
of ^in++++=of
femicide ^nn+++??+=femicide
is ^vbz+bez+vrb++=is
higher ^jjr+pred+++=higher
in ^in++++=in
urban ^jj+atrb+++=urban
agglomerations ^nns+nom+++=agglomerations
and ^cc++++=and
cities ^nns++++=cities
with ^in++++=with
greater ^jjr+atrb+++=greater
population ^nn+nom+++=population
density ^nn+nom+++=density.
. ^zz++++=EXTRAWORD
The ^ati++++=The
contexts ^nns++++=contexts
in ^in++++=in
which ^whp+rel+pied++=which
femicides ^nns+++??+=femicides
occur ^vb++++=occur
are ^vb+ber+vrb++=are
diverse ^jj+pred+++=diverse
and ^cc++++=and
are ^vb+ber+aux++=are
often ^rb++splt++=often
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
specific ^jj++++=specific
geographical ^jj++++=geographical
and ^cc++++=and
gender ^nn++++=gender-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
factors ^nns++++=factors.
. ^zz++++=EXTRAWORD
An ^at++++=An
increase ^nn++++=increase
in ^in++++=in
femicide ^nn+++??+=femicide
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
areas ^nns++++=areas
characterized ^vwbn+++xvbn+=characterized
by ^in++++=by
a ^at++++=a
predominance ^nn+nom+++=predominance
of ^in++++=of
patriarchal ^jj+atrb+++=patriarchal
culture ^nn++++=culture,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
a ^at++++=a
persistent ^jj+atrb+++=persistent
feature ^nn++++=feature
of ^in++++=of
Sergipe ^np+++??+=Sergipe
society ^nn++++=society.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
pattern ^nn++++=pattern
was ^vbd+bedz+vrb++=was
evident ^jj+pred+++=evident
in ^in++++=in
the ^ati++++=the
clusters ^nns+nom+++=clusters
of ^in++++=of
municipalities ^nns+nom+++=municipalities
in ^in++++=in
Sergipe ^np+++??+=Sergipe
that ^tht+rel+subj++=that
exhibited ^vprf+++xvbn+=exhibited
" ^zz++++="high-high"
high ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
high ^jj++++=EXTRAWORD
" ^zz++++=EXTRAWORD
spatial ^jj+atrb+++=spatial
autocorrelation ^nn+nom+++=autocorrelation.
. ^zz++++=EXTRAWORD
In ^in++++=In
these ^dt+dem+++=these
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
significant ^jj+atrb+++=significant
livestock ^nn++++=livestock
activity ^nn+nom+++=activity
and ^cc++++=and
a ^at++++=a
strong ^jj+atrb+++=strong
valorization ^nn+nom+++=valorization
of ^in++++=of
traditional ^jj+atrb+++=traditional
male ^jj+atrb+++=male
gender ^nn++++=gender
roles ^nns++++=roles,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
attributes ^vbz++++=attributes
such ^abl++++=such
as ^ql++++=as
courage ^np+nom+++=courage,
, ^zz++++=EXTRAWORD
strength ^nn++++=strength,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
virility ^nn+nom+++=virility
are ^vb+ber+aux++=are
considered ^vpsv++agls+xvbnx+=considered
essential ^nn++++=essential
for ^in++++=for
work ^nn++++=work
with ^in++++=with
cattle ^nns++++=cattle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
these ^dt+dem+++=these
values ^nns++++=values
often ^rb++++=often
extend ^vb++++=extend
to ^in++++=to
broader ^jjr+atrb+++=broader
gender ^nn++++=gender
relations ^nns+nom+++=relations
and ^cc++++=and
daily ^jj+atrb+++=daily
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Similar ^jj+atrb+++=Similar
conditions ^nns+nom+++=conditions
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
reported ^vpsv++agls+xvbnx+=reported
in ^in++++=in
other ^ap++++=other
regions ^nns++++=regions
of ^in++++=of
Brazil ^np++++=Brazil
with ^in++++=with
comparable ^jj+atrb+++=comparable
economic ^jj+atrb+++=economic
structures ^nns++++=structures
and ^cc++++=and
enduring ^jj+atrb++xvbg+=enduring
patriarchal ^jj+atrb+++=patriarchal
norms ^nns++++=norms,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
subordination ^nn+nom+++=subordination
of ^in++++=of
women ^nns++++=women
to ^in++++=to
men ^nns++++=men
remains ^nns++++=remains
prevalent ^jj++++=prevalent.
. ^zz++++=EXTRAWORD
