Characterized ^np+++??+=Characterized
by ^in++++=by
lanceolate ^nn+nom+++=lanceolate
and ^cc++++=and
strongly ^rb+amp+++=strongly
falcate ^nn+nom+++=falcate
leaves ^nns++++=leaves
with ^in++++=with
a ^at++++=a
denticulate ^nn+nom+++=denticulate
margin ^nn++++=margin,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
species ^nn++++=species
exhibits ^vbz++++=exhibits
inflated ^vbd+++xvbn+=inflated
alar ^jj+atrb++??+=alar
cells ^nns++++=cells
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
slightly ^rb+down+splt++=slightly
obliquely ^rb++++=obliquely
arranged ^vbd+vsua++xvbn+=arranged,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
leaf ^nn++++=leaf
cells ^nns++++=cells
with ^in++++=with
papillae ^nn+++??+=papillae
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
either ^dtx++++=either
conspicuous ^jj++++=conspicuous
or ^cc++++=or
nearly ^rb+down+++=nearly
imperceptible ^jj++++=imperceptible.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
corticolous ^jj+pred+++=corticolous
and ^cc+phrs+++=and
epixylous ^jj++++=epixylous
within ^in++++=within
the ^ati++++=the
Atlantic ^np++++=Atlantic
Forest ^nn++++=Forest
and ^cc++++=and
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
recorded ^vpsv++agls+xvbnx+=recorded
in ^in++++=in
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
states ^nns++++=states
of ^in++++=of
Minas ^np+++??+=Minas
Gerais ^np+++??+=Gerais,
, ^zz++++=EXTRAWORD
Pernambuco ^np+++??+=Pernambuco,
, ^zz++++=EXTRAWORD
Paran ^np+++??+=Paran
, ^zz++++=,
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro,
, ^zz++++=EXTRAWORD
Rio ^np+++??+=Rio
Grande ^&fw++++=Grande
do ^vb+do+vrb++=do
Sul ^np+++??+=Sul,
, ^zz++++=EXTRAWORD
Santa ^&fw++++=Santa
Catarina ^np+++??+=Catarina,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
S ^zz++++=S
o ^zz++++=o
paulo ^np++++=Paulo.
. ^zz++++=EXTRAWORD
the ^ati++++=The
species ^nn++++=species
is ^vbz+bez+vrb++=is
endemic ^jj+pred+++=endemic
to ^in++++=to
brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
