Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
assessed ^vbd+++xvbn+=assessed
the ^ati++++=the
necessity ^nn+nom+++=necessity
of ^in++++=of
including ^in++++=including
the ^ati++++=the
control ^nn++++=control
variable ^nn++++=variable
' ^zz++++='NPO
npo ^nn+++??+=EXTRAWORD
age ^nn++++=age'
' ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
model ^nn++++=model,
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
premise ^nn++++=premise
that ^tht+rel+++=that
nonprofit ^nn+++??+=nonprofit
organizations ^nns+nom+++=organizations
require ^vb+vsua+++=require
time ^nn++++=time
to ^to++++=to
establish ^vbi+vprv+++=establish
operations ^nns+nom+++=operations
and ^cc++++=and
implement ^nn+nom+++=implement
governance ^nn+nom+++=governance
practices ^nns++++=practices
( ^zz++++=(Saxton,
saxton ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
neely ^np++++=Neely,
, ^zz++++=EXTRAWORD
& ^zz++++=&
guo ^np++++=Guo,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
