Prior ^in+cmpx+++=Prior
to ^in"++++=to
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn++++=pandemic,
, ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil
had ^vb+hv+vrb++=had
approximately ^rb+down+++=approximately
12.9 ^cd++++=12.9
million ^cd++++=million
unemployed ^jj+atrb+++=unemployed
individuals ^nns+nom+++=individuals.
. ^zz++++=EXTRAWORD
In ^in++++=In
May ^md+pos+++=May
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
the ^ati++++=the
national ^jj+atrb+++=national
unemployment ^nn+nom+++=unemployment
rate ^nn++++=rate
was ^vbd+bedz+vrb++=was
10.5 ^cd++++=10.5%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
reaching ^vbg+++xvbg+=reaching
a ^at++++=a
peak ^nn++++=peak
of ^in++++=of
14.3 ^cd++++=14.3%
% ^zz++++=EXTRAWORD
in ^in++++=in
August ^nr++++=August
before ^cs+sub+++=before
declining ^xvbg+++xvbg+=declining
slightly ^rb+down+++=slightly
to ^to++++=to
13.7 ^cd++++=13.7%
% ^zz++++=EXTRAWORD
in ^in++++=in
September ^nr+nom+++=September
( ^zz++++=(Brazilian
brazilian ^jj+atrb+++=EXTRAWORD
Institute ^nn++++=Institute
of ^in++++=of
Statistics ^nn++++=Statistics
and ^cc++++=and
Geography ^nn++++=Geography,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
pandemic ^jj++++=pandemic-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
crisis ^nn++++=crisis
impacted ^vbd+++xvbn+=impacted
the ^ati++++=the
employment ^nn+nom+++=employment
of ^in++++=of
at ^rb++++=at
least ^rb"++++=least
one ^cd1++++=one
member ^nn++++=member
in ^in++++=in
57.2 ^cd++++=57.2%
% ^zz++++=EXTRAWORD
of ^in++++=of
households ^nns++++=households;
; ^zz++++=EXTRAWORD
social ^jj+atrb+++=social
isolation ^nn+nom+++=isolation
measures ^nns++++=measures
created ^vbd+++xvbn+=created
barriers ^nns+nom+++=barriers
to ^in++++=to
work ^nn++++=work
for ^in++++=for
45.5 ^cd++++=45.5%
% ^zz++++=EXTRAWORD
of ^in++++=of
families ^nns++++=families,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
14.3 ^cd++++=14.3%
% ^zz++++=EXTRAWORD
of ^in++++=of
families ^nns++++=families
experienced ^vbd+++xvbn+=experienced
complete ^jj+atrb+++=complete
job ^nn++++=job
loss ^nn++++=loss
( ^zz++++=(Get
get ^vb++++=EXTRAWORD
lio ^&fo++++=lio
vargas ^np++++=Vargas
foundation ^nn+nom+++=Foundation,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
