Recent ^jj+atrb+++=Recent
studies ^nns++++=studies
have ^vb+hv+aux++=have
documented ^vprf+++xvbnx+=documented
the ^ati++++=the
positive ^jj+atrb+++=positive
effects ^nns++++=effects
of ^in++++=of
primary ^jj+atrb+++=primary
health ^nn++++=health
care ^nn++++=care
( ^zz++++=(PHC)
phc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
coverage ^nn+nom+++=coverage
using ^xvbg+++xvbg+=using
selected ^vprf+++xvbn+=selected
health ^nn++++=health
impact ^nn++++=impact
indicators ^nns++++=indicators,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
mortality ^nn+nom+++=mortality
rates ^nns++++=rates
among ^in++++=among
specific ^jj+atrb+++=specific
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
including ^in++++=including
children ^nns++++=children
and ^cc++++=and
individuals ^nns+nom+++=individuals
with ^in++++=with
chronic ^jj+atrb+++=chronic
diseases ^nns++++=diseases.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
commonly ^rb++++=commonly
used ^vbd+++xvbn+=used
indicator ^nn++++=indicator
for ^in++++=for
monitoring ^xvbg+++xvbg+=monitoring
Phc ^np+++??+=PHC
quality ^nn+nom+++=quality
is ^vbz+bez+vrb++=is
the ^ati++++=the
rate ^nn++++=rate
of ^in++++=of
hospitalizations ^nns+nom+++=hospitalizations
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
Ambulatory ^vb+++??+=Ambulatory
Care ^nn++++=Care
Sensitive ^jj+atrb+++=Sensitive
Conditions ^nns+nom+++=Conditions
( ^zz++++=(ACSC),
acsc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
encompasses ^vbz++++=encompasses
health ^nn++++=health
problems ^nns++++=problems
for ^in++++=for
which ^whp+rel+pied++=which
effective ^jj+atrb+++=effective
Phc ^np+++??+=PHC
interventions ^nns+nom+++=interventions
can ^md+pos+++=can
reduce ^vb++++=reduce
the ^ati++++=the
likelihood ^nn+nom+++=likelihood
of ^in++++=of
hospitalization ^nn+nom+++=hospitalization.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Macinko ^np+++??+=Macinko
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
indicator ^nn++++=indicator
is ^vbz+bez+aux++=is
infrequently ^rb++splt++=infrequently
employed ^vpsv++agls+xvbnx+=employed
to ^to++++=to
evaluate ^nn+nom+++=evaluate
services ^nns++++=services
in ^in++++=in
lowand ^nn+++??+=lowand
middle ^jjb++++=middle-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
Elevated ^j+++xvbn+=Elevated
Acsc ^np+++??+=ACSC
hospitalization ^nn+nom+++=hospitalization
rates ^nns++++=rates
may ^md+pos+++=may
be ^vb+be+aux++=be
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
issues ^nn++++=issues
related ^vbd+++xvbn+=related
to ^in++++=to
access ^nn++++=access,
, ^zz++++=EXTRAWORD
coverage ^nn+nom+++=coverage,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
inefficiency ^nn++++=inefficiency
at ^in++++=at
the ^ati++++=the
Phc ^np+++??+=PHC
level ^nn++++=level.
. ^zz++++=EXTRAWORD
The ^ati++++=The
reliability ^nn+nom+++=reliability
and ^cc++++=and
accessibility ^nn+nom+++=accessibility
of ^in++++=of
data ^nns++++=data
in ^in++++=in
public ^jj+atrb+++=public
databases ^nns+++??+=databases
support ^nn++++=support
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
Acsc ^np+++??+=ACSC
hospitalization ^nn+nom+++=hospitalization
rates ^nns++++=rates
to ^to++++=to
assess ^vbi++++=assess
Phc ^np+++??+=PHC
services ^nns++++=services,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
with ^in++++=with
regard ^nn++++=regard
to ^in++++=to
implementation ^nn+nom+++=implementation
and ^cc++++=and
coverage ^nn+nom+++=coverage
effects ^nns++++=effects,
, ^zz++++=EXTRAWORD
as ^in++++=as
demonstrated ^nn++++=demonstrated
in ^in++++=in
recent ^jj+atrb+++=recent
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
