Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
existence ^nn+nom+++=existence
of ^in++++=of
an ^at++++=an
official ^nn++++=official
plan ^vb++++=plan
that ^dt+pdem+++=that
is ^vbz+bez+aux++=is
adopted ^vpsv++agls+xvbnx+=adopted
transparently ^jj++++=transparently,
, ^zz++++=EXTRAWORD
widely ^rb++++=widely
communicated ^vbd+++xvbn+=communicated
to ^in++++=to
the ^ati++++=the
public ^nn++++=public,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
characterized ^vpsv++by+xvbn+=characterized
by ^in++++=by
clear ^jj++++=clear,
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well-defined,
- ^zz++++=EXTRAWORD
defined ^vbn+vprv++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
easily ^rb++++=easily
understood ^vbd+vprv+tht0+xvbn+=understood
criteria ^nns++++=criteria
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
to ^to+jcmp+++=to
minimize ^vbi++++=minimize
the ^ati++++=the
influence ^nn+nom+++=influence
of ^in++++=of
specific ^jj+atrb+++=specific
groups ^nns++++=groups
or ^cc++++=or
sectors ^nns++++=sectors
that ^tht+rel+obj++=that
may ^md+pos+++=may
seek ^vb++++=seek
to ^to+vcmp+++=to
affect ^vbi++++=affect
government ^nn+nom+++=government
decision ^nn++++=decision-making.
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
objective ^jj+atrb+++=objective
indicators ^nns++++=indicators
is ^vbz+bez+vrb++=is
fundamental ^jj+pred+++=fundamental
to ^in++++=to
the ^ati++++=the
effectiveness ^nns+nom+++=effectiveness
of ^in++++=of
government ^nn+nom+++=government
strategies ^nns+++??+=strategies
and ^cc++++=and,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
importantly ^rb+cnj+++=importantly,
, ^zz++++=EXTRAWORD
to ^to++++=to
ensure ^vbi+vprv+tht0++=ensure
their ^pp$+pp3+++=their
implementation ^nn+nom+++=implementation
is ^vbz+bez+vrb++=is
equitable ^jj+pred+++=equitable
and ^cc+phrs+++=and
democratic ^jj++++=democratic,
, ^zz++++=EXTRAWORD
grounded ^j+++xvbn+=grounded
in ^in++++=in
scientific ^jj+atrb+++=scientific
evidence ^nn+nom+++=evidence
and ^cc++++=and
prioritizing ^nn++++=prioritizing
the ^ati++++=the
welfare ^nn++++=welfare
of ^in++++=of
the ^ati++++=the
population ^nn+nom+++=population.
. ^zz++++=EXTRAWORD
