Syntactically ^rb+cnj+++=Syntactically,
, ^zz++++=EXTRAWORD
in ^in++++=in
example ^nn++++=example
( ^zz++++=(48),
48 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
the ^ati++++=the
appositive ^jj+atrb+++=appositive
relative ^jj+atrb+++=relative
clause ^nn++++=clause
functions ^nns+nom+++=functions
as ^in++++=as
the ^ati++++=the
complement ^nn+nom+++=complement
of ^in++++=of
a ^at++++=a
higher ^jjr++++=higher
determiner ^jjr++++=determiner
( ^zz++++=(D),
d ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
relativized ^jj+atrb++xvbn+=relativized
noun ^nn++++=noun
phrase ^nn++++=phrase
( ^zz++++=(NP)
np ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
remains ^nns++++=remains
within ^in++++=within
the ^ati++++=the
complementizer ^jjr+atrb+++=complementizer
phrase ^nn++++=phrase
( ^zz++++=(CP),
cp ^vb++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
occupying ^vbg+++xvbg+=occupying
its ^pp$+it+++=its
specifier ^jjr+atrb+++=specifier
position ^nn+nom+++=position.
. ^zz++++=EXTRAWORD
